group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,manner_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9902916252613068,-0.9882951974868774|-0.9922880530357361,Canonical,,(play_game charlie soccer),0.9583037495613098,0.9583037495613098,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,boy plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9171974658966064,-0.965230405330658|-0.9634624123573303|-0.822899580001831,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8068332672119141,0.9665231704711914|0.7501981258392334|0.8068332672119141,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|soccer|badly,
Word,word_group,train,boy plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.5961110492547353,-0.24008294939994812|-0.8558453917503357|-0.6924048066139221,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.5817621350288391,0.8650133013725281|0.6305032968521118|0.5817621350288391,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|soccer|well,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9903223812580109,-0.9884653687477112|-0.9921793937683105,Canonical,,(play_game charlie soccer),0.9580381512641907,0.9580381512641907,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,charlie plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9174896081288656,-0.965380847454071|-0.964163064956665|-0.8229249119758606,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8062294721603394,0.9661809206008911|0.7490841150283813|0.8062294721603394,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|football|badly,
Word,word_group,train,charlie plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.6054570476214091,-0.2712644934654236|-0.859851598739624|-0.6852550506591797,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.5801522731781006,0.8666397929191589|0.6262760758399963|0.5801522731781006,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|football|well,
Word,word_group,train,football is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9116558035214742,-0.9658021926879883|-0.9535118341445923|-0.815653383731842,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8022348880767822,0.9647253155708313|0.7481918931007385|0.8022348880767822,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|charlie,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9899112284183502,-0.9879860281944275|-0.991836428642273,Canonical,,(play_game charlie soccer),0.9586238265037537,0.9586238265037537,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,football is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7023414373397827,-0.6100243330001831|-0.8983467817306519|-0.5986531972885132,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.5620626211166382,0.8885873556137085|0.5791862607002258|0.5620626211166382,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|charlie,
Word,word_group,train,soccer is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9121295809745789,-0.9657381176948547|-0.9548311829566956|-0.8158194422721863,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.803240180015564,0.9653598070144653|0.7489559054374695|0.803240180015564,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|boy,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9899348616600037,-0.9878177642822266|-0.9920519590377808,Canonical,,(play_game charlie soccer),0.960175096988678,0.960175096988678,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,train,soccer is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7058459122975668,-0.6185627579689026|-0.8991528749465942|-0.5998221039772034,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.564128577709198,0.8907743096351624|0.5807785391807556|0.564128577709198,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9903896749019623,-0.9884902834892273|-0.9922890663146973,Canonical,,(play_game charlie soccer),0.9578535556793213,0.9578535556793213,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,boy plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9179428617159525,-0.9658161401748657|-0.964749276638031|-0.8232631683349609,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8066351413726807,0.9664731621742249|0.7493873834609985|0.8066351413726807,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|football|badly,
Word,word_group,test,boy plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.6028058131535848,-0.2626212239265442|-0.85806804895401|-0.6877281665802002,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.5807886719703674,0.8659347891807556|0.6278228163719177|0.5807886719703674,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|football|well,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9902319610118866,-0.9882853031158447|-0.9921786189079285,Canonical,,(play_game charlie soccer),0.958491861820221,0.958491861820221,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,charlie plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9167245825131735,-0.9647766947746277|-0.9628424048423767|-0.8225546479225159,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8064142465591431,0.966215193271637|0.7498917579650879|0.8064142465591431,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|soccer|badly,
Word,word_group,test,charlie plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.5989454239606857,-0.2491217404603958|-0.8576764464378357|-0.6900380849838257,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.5812415480613708,0.8658217787742615|0.6290516257286072|0.5812415480613708,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|soccer|well,
