group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,manner_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9919695556163788,-0.9872159361839294|-0.9967231750488281,Canonical,,(play_game charlie soccer),0.9541793465614319,0.9541793465614319,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,train,boy plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9202591975529989,-0.9989175796508789|-0.9897394180297852|-0.7721205949783325,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8163588643074036,0.9863735437393188|0.7514907121658325|0.8163588643074036,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|soccer|badly,
Word,word_group,train,boy plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8185303012530009,-0.9088228344917297|-0.9602375626564026|-0.5865305066108704,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6104352474212646,0.958016574382782|0.6015651822090149|0.6104352474212646,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|soccer|well,
Word,word_group,train,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9919320046901703,-0.9871514439582825|-0.9967125654220581,Canonical,,(play_game charlie soccer),0.9540035128593445,0.9540035128593445,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,train,charlie plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9199580947558085,-0.9989185929298401|-0.9897325038909912|-0.7712231874465942,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8161649107933044,0.9863703846931458|0.7512112855911255|0.8161649107933044,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|football|badly,
Word,word_group,train,charlie plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8163436452547709,-0.9091805815696716|-0.9603101015090942|-0.5795402526855469,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6077303290367126,0.9581586122512817|0.5985376238822937|0.6077303290367126,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|football|well,
Word,word_group,train,football is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9258156021436056,-0.998569667339325|-0.9850649833679199|-0.7938121557235718,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8132296800613403,0.982187032699585|0.7496945261955261|0.8132296800613403,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|charlie,
Word,word_group,train,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9940901100635529,-0.9912335276603699|-0.9969466924667358,Canonical,,(play_game charlie soccer),0.9537022113800049,0.9537022113800049,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,train,football is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8709574540456136,-0.8850838541984558|-0.9484894275665283|-0.7792990803718567,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6773799061775208,0.9391030073165894|0.6800982356071472|0.6773799061775208,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|charlie,
Word,word_group,train,soccer is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9262194633483887,-0.9985809922218323|-0.9850988388061523|-0.7949785590171814,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8133324384689331,0.9821969866752625|0.7498294711112976|0.8133324384689331,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|boy,
Word,word_group,train,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9941596686840057,-0.9913432002067566|-0.9969761371612549,Canonical,,(play_game charlie soccer),0.9538540244102478,0.9538540244102478,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,train,soccer is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.871160626411438,-0.8849189877510071|-0.9483450651168823|-0.7802178263664246,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6776965856552124,0.939074695110321|0.6805000901222229|0.6776965856552124,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|boy,
Word,word_group,test,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9920656979084015,-0.9874033331871033|-0.9967280626296997,Canonical,,(play_game charlie soccer),0.954042911529541,0.954042911529541,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,test,boy plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.920130987962087,-0.9989230632781982|-0.9898011684417725|-0.7716687321662903,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8163211345672607,0.986400842666626|0.7514024972915649|0.8163211345672607,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|football|badly,
Word,word_group,test,boy plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8168439865112305,-0.9101916551589966|-0.9605169296264648|-0.57982337474823,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6079689264297485,0.9582919478416443|0.5986969470977783|0.6079689264297485,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|football|well,
Word,word_group,test,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9918338656425476,-0.9869601130485535|-0.9967076182365417,Canonical,,(play_game charlie soccer),0.9541382789611816,0.9541382789611816,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,test,charlie plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9200854500134786,-0.998913049697876|-0.9896707534790039|-0.7716725468635559,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8162021636962891,0.9863429069519043|0.7512984275817871|0.8162021636962891,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|soccer|badly,
Word,word_group,test,charlie plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8180311520894369,-0.9077975153923035|-0.9600276350975037|-0.5862683057785034,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6102031469345093,0.957880973815918|0.6014148592948914|0.6102031469345093,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|soccer|well,
Word,word_group,test,football is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9262336492538452,-0.9985840916633606|-0.9850992560386658|-0.7950176000595093,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8133797645568848,0.9822015166282654|0.7498961687088013|0.8133797645568848,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|boy,
Word,word_group,test,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9941877722740173,-0.9914063215255737|-0.9969692230224609,Canonical,,(play_game charlie soccer),0.9538947939872742,0.9538947939872742,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,test,football is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8712325493494669,-0.885138213634491|-0.9484225511550903|-0.7801368832588196,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6777273416519165,0.9391440153121948|0.6804870963096619|0.6777273416519165,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|boy,
Word,word_group,test,soccer is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9258015354474386,-0.9985665678977966|-0.985064685344696|-0.793773353099823,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.813182532787323,0.9821826815605164|0.7496281862258911|0.813182532787323,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|charlie,
Word,word_group,test,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9940616190433502,-0.9911693930625916|-0.9969538450241089,Canonical,,(play_game charlie soccer),0.9536610245704651,0.9536610245704651,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Word,word_group,test,soccer is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8708861072858175,-0.8848651647567749|-0.9484115839004517|-0.7793815732002258,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6773493885993958,0.9390335083007812|0.6801117658615112|0.6773493885993958,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|charlie,
