group_name,output_key,split,sentence,competing_formulas,competing_score,competing_scores,complexity_level,composition_preference,described_formulas,described_score,described_scores,location_score,lose_score,manner_score,modifier_count,num_competing_events,num_described_events,play_score,play_toy_score,route_preference,systematicity_pattern_original,theoretical_max,theoretical_min,tokens,win_score
Word,word_group,train,boy plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9956348240375519,-0.9969671964645386|-0.9943024516105652,Canonical,,(play_game charlie soccer),0.9391651153564453,0.9391651153564453,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|football,
Word,word_group,train,boy plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9280434052149454,-0.9970665574073792|-0.9759053587913513|-0.811158299446106,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8073282837867737,0.9749135971069336|0.7446873784065247|0.8073282837867737,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|football|badly,
Word,word_group,train,boy plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8663473725318909,-0.8209524750709534|-0.9431115388870239|-0.8349781036376953,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6777591705322266,0.9173346161842346|0.6870347857475281|0.6777591705322266,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|football|well,
Word,word_group,train,charlie plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9937886893749237,-0.995522677898407|-0.9920547008514404,Canonical,,(play_game charlie soccer),0.8997187614440918,0.8997187614440918,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|soccer,
Word,word_group,train,charlie plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9215865929921468,-0.9938479065895081|-0.9651253819465637|-0.8057864904403687,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.800559401512146,0.9677556753158569|0.7398144006729126|0.800559401512146,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|soccer|badly,
Word,word_group,train,charlie plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8606504003206888,-0.8955537676811218|-0.9698025584220886|-0.7165948748588562,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6188413500785828,0.9086677432060242|0.6107951998710632|0.6188413500785828,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|soccer|well,
Word,word_group,train,football is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9220795035362244,-0.9931536316871643|-0.9799870252609253|-0.7930978536605835,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8048990964889526,0.9743821620941162|0.7394011616706848|0.8048990964889526,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|boy,
Word,word_group,train,football is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9951343238353729,-0.9947801232337952|-0.9954885244369507,Canonical,,(play_game charlie soccer),0.9535643458366394,0.9535643458366394,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|boy,
Word,word_group,train,football is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8255321780840555,-0.7436348795890808|-0.9594144225120544|-0.7735472321510315,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6497833728790283,0.9134970307350159|0.6533194780349731|0.6497833728790283,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|boy,
Word,word_group,train,soccer is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9220548868179321,-0.992479681968689|-0.979117214679718|-0.7945677638053894,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8053451180458069,0.9729883670806885|0.7404091358184814|0.8053451180458069,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|charlie,
Word,word_group,train,soccer is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9963218569755554,-0.9960619807243347|-0.9965817332267761,Canonical,,(play_game charlie soccer),0.95018070936203,0.95018070936203,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|charlie,
Word,word_group,train,soccer is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7931661407152811,-0.650366485118866|-0.9479166269302368|-0.7812153100967407,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6409109234809875,0.8944557905197144|0.6506040692329407|0.6409109234809875,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|charlie,
Word,word_group,test,boy plays soccer,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9937792122364044,-0.9955293536186218|-0.992029070854187,Canonical,,(play_game charlie soccer),0.8998641967773438,0.8998641967773438,,,,0,2,1,,,,True,1.0,-1.0,boy|plays|soccer,
Word,word_group,test,boy plays soccer badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9269946217536926,-0.9973348379135132|-0.9834163188934326|-0.8002327084541321,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8070617318153381,0.977169930934906|0.7411347031593323|0.8070617318153381,,,,1,3,3,,,,False,1.0,-0.9427472352981567,boy|plays|soccer|badly,
Word,word_group,test,boy plays soccer well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.878694216410319,-0.8620877861976624|-0.95390784740448|-0.8200870156288147,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6715915203094482,0.9185478091239929|0.6752027869224548|0.6715915203094482,,,,1,3,3,,,,False,1.0,-0.8903494675954183,boy|plays|soccer|well,
Word,word_group,test,charlie plays football,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9956818521022797,-0.9968669414520264|-0.994496762752533,Canonical,,(play_game charlie soccer),0.9411982297897339,0.9411982297897339,,,,0,2,1,,,,True,1.0,-1.0,charlie|plays|football,
Word,word_group,test,charlie plays football badly,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9270191192626953,-0.9962624907493591|-0.9757111072540283|-0.8090837597846985,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8064523935317993,0.9742018580436707|0.7435026168823242|0.8064523935317993,,,,1,3,3,,,,False,1.0,-0.9427472352981567,charlie|plays|football|badly,
Word,word_group,test,charlie plays football well,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8574287494023641,-0.8597055673599243|-0.9620349407196045|-0.7505457401275635,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6361997127532959,0.9128808379173279|0.6335844397544861|0.6361997127532959,,,,1,3,3,,,,False,1.0,-0.8903494675954183,charlie|plays|football|well,
Word,word_group,test,football is played badly by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9224102894465128,-0.9932071566581726|-0.9809205532073975|-0.7931031584739685,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8047839999198914,0.9741840362548828|0.7388526201248169|0.8047839999198914,,,,1,3,3,,,,False,1.0,-0.9427472352981567,football|is|played|badly|by|charlie,
Word,word_group,test,football is played by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.99623703956604,-0.9959850907325745|-0.9964889883995056,Canonical,,(play_game charlie soccer),0.9484561681747437,0.9484561681747437,,,,0,2,1,,,,True,1.0,-1.0,football|is|played|by|charlie,
Word,word_group,test,football is played well by charlie,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.8239403963088989,-0.743932843208313|-0.9599589705467224|-0.7679293751716614,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6442399621009827,0.9084678292274475|0.6469814777374268|0.6442399621009827,,,,1,3,3,,,,False,1.0,-0.8903494675954183,football|is|played|well|by|charlie,
Word,word_group,test,soccer is played badly by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie well),-0.9218489130338033,-0.9926719665527344|-0.978691577911377|-0.7941831946372986,Manner,,(play_game charlie soccer)|(play_manner charlie badly)|(and (play_game charlie soccer) (play_manner charlie badly)),0.8053956031799316,0.9735509753227234|0.7406497597694397|0.8053956031799316,,,,1,3,3,,,,False,1.0,-0.9427472352981567,soccer|is|played|badly|by|boy,
Word,word_group,test,soccer is played by boy,(play_game charlie chess)|(play_game charlie hide_n_seek),-0.9952895045280457,-0.9949415922164917|-0.9956374168395996,Canonical,,(play_game charlie soccer),0.9553375840187073,0.9553375840187073,,,,0,2,1,,,,True,1.0,-1.0,soccer|is|played|by|boy,
Word,word_group,test,soccer is played well by boy,(play_game charlie chess)|(play_game charlie hide_n_seek)|(play_manner charlie badly),-0.7963778177897135,-0.6551956534385681|-0.9478092789649963|-0.7861285209655762,Manner,,(play_game charlie soccer)|(play_manner charlie well)|(and (play_game charlie soccer) (play_manner charlie well)),0.6471298933029175,0.9007661938667297|0.6573728322982788|0.6471298933029175,,,,1,3,3,,,,False,1.0,-0.8903494675954183,soccer|is|played|well|by|boy,
Sentence,sentence_group,train,boy beats heidi,(win heidi)|(win sophia)|(lose charlie),-0.9674697120984396,-0.9620956182479858|-0.9875490069389343|-0.9527645111083984,Canonical,-0.07181692123413086,(win charlie)|(lose heidi)|(and (win charlie) (lose heidi)),0.6807805895805359,0.9375250339508057|0.5676699876785278|0.6807805895805359,,0.5676699876785278,,0,3,3,,,,True,1.0,-0.9786379535992941,boy|beats|heidi,0.9375250339508057
Sentence,sentence_group,train,boy beats heidi in bathroom,(win heidi)|(win sophia)|(lose charlie)|(location charlie playground)|(location heidi playground)|(location charlie street)|(location heidi street),-0.7307998569948333,-0.7507544755935669|-0.9198790788650513|-0.7222550511360168|-0.11834236234426498|-0.7178831100463867|-0.9173863530158997|-0.9690985679626465,Location,-0.35802237689495087,"(win charlie)|(lose heidi)|(and (location charlie bathroom) (location heidi bathroom))|(and (win charlie)
     (location charlie bathroom)
     (lose heidi)
     (location heidi bathroom))",0.13693241775035858,0.7929244041442871|0.5339949727058411|0.15794500708580017|0.13693241775035858,0.15794500708580017,0.5339949727058411,,1,7,4,,,,False,1.0,-0.8780897430011204,boy|beats|heidi|in|bathroom,0.7929244041442871
Sentence,sentence_group,train,boy beats heidi in bedroom,(win heidi)|(win sophia)|(lose charlie)|(location charlie playground)|(location heidi playground)|(location charlie street)|(location heidi street),-0.9217946699687413,-0.9260169267654419|-0.9461995959281921|-0.9124100208282471|-0.8078664541244507|-0.9039176106452942|-0.9723646640777588|-0.9837874174118042,Location,-0.09805275996526086,"(win charlie)|(lose heidi)|(and (location charlie bedroom) (location heidi bedroom))|(and (win charlie)
     (location charlie bedroom)
     (lose heidi)
     (location heidi bedroom))",0.741426408290863,0.9140923619270325|0.8086498379707336|0.7956953048706055|0.741426408290863,0.7956953048706055,0.8086498379707336,,1,7,4,,,,False,1.0,-0.9670233726501465,boy|beats|heidi|in|bedroom,0.9140923619270325
Sentence,sentence_group,train,boy beats heidi in playground,(win heidi)|(win sophia)|(lose charlie)|(location charlie bathroom)|(location heidi bathroom)|(location charlie bedroom)|(location heidi bedroom),-0.9106416361672538,-0.907488226890564|-0.9789597392082214|-0.9064065217971802|-0.9231134653091431|-0.8247016668319702|-0.9224998950958252|-0.9113219380378723,Location,-0.08914691209793091,"(win charlie)|(lose heidi)|(and (location charlie playground) (location heidi playground))|(and (win charlie)
     (location charlie playground)
     (lose heidi)
     (location heidi playground))",0.7540292739868164,0.8835152983665466|0.7339316010475159|0.9120816588401794|0.7540292739868164,0.9120816588401794,0.7339316010475159,,1,7,4,,,,False,1.0,-0.9868660739489964,boy|beats|heidi|in|playground,0.8835152983665466
Sentence,sentence_group,train,boy beats heidi in shower,(win heidi)|(win sophia)|(lose charlie)|(location charlie playground)|(location heidi playground)|(location charlie street)|(location heidi street),-0.7354419752955437,-0.7605741620063782|-0.9211549758911133|-0.7335609197616577|-0.11958862096071243|-0.7269474267959595|-0.9171960353851318|-0.9690716862678528,Location,-0.3615066309769948,"(win charlie)|(lose heidi)|(and (location charlie bathroom) (location heidi bathroom))|(and (win charlie)
     (location charlie bathroom)
     (lose heidi)
     (location heidi bathroom))",0.1383122205734253,0.7987813353538513|0.5422802567481995|0.1583949625492096|0.1383122205734253,0.1583949625492096,0.5422802567481995,,1,7,4,,,,False,1.0,-0.8780897430011204,boy|beats|heidi|in|shower,0.7987813353538513
Sentence,sentence_group,train,boy beats heidi in street,(win heidi)|(win sophia)|(lose charlie)|(location charlie bathroom)|(location heidi bathroom)|(location charlie bedroom)|(location heidi bedroom),-0.9201722655977521,-0.9615522623062134|-0.8938523530960083|-0.9160195589065552|-0.9579572081565857|-0.9365746378898621|-0.9665393829345703|-0.8087104558944702,Location,-0.2962331722180048,"(win charlie)|(lose heidi)|(and (location charlie street) (location heidi street))|(and (win charlie)
     (location charlie street)
     (lose heidi)
     (location heidi street))",0.24898789823055267,0.5668109655380249|0.17580604553222656|0.8930462002754211|0.24898789823055267,0.8930462002754211,0.17580604553222656,,1,7,4,,,,False,1.0,-0.9752846445356097,boy|beats|heidi|in|street,0.5668109655380249
Sentence,sentence_group,train,boy beats heidi inside,(win heidi)|(win sophia)|(lose charlie)|(location charlie playground)|(location heidi playground)|(location charlie street)|(location heidi street),-0.9229149052074977,-0.953000545501709|-0.9648076295852661|-0.939446210861206|-0.6949663758277893|-0.944913923740387|-0.977432131767273|-0.9858375191688538,Location,-0.1298129757245382,"(win charlie)|(lose heidi)|(or (and (location charlie bathroom) (location heidi bathroom)) (and (location charlie bedroom) (location heidi bedroom)))|(or (and (win charlie)
         (location charlie bathroom)
         (lose heidi)
         (location heidi bathroom))
    (and (win charlie)
         (location charlie bedroom)
         (lose heidi)
         (location heidi bedroom)))",0.7065178155899048,0.9404299855232239|0.8387941718101501|0.7297682166099548|0.7065178155899048,0.7297682166099548,0.8387941718101501,,1,7,4,,,,False,1.0,-0.957172155380249,boy|beats|heidi|inside,0.9404299855232239
Sentence,sentence_group,train,boy beats heidi outside,(win heidi)|(win sophia)|(lose charlie)|(location charlie bathroom)|(location heidi bathroom)|(location charlie bedroom)|(location heidi bedroom),-0.9288093192236764,-0.8952913880348206|-0.9740312695503235|-0.8962157964706421|-0.937421441078186|-0.919759213924408|-0.939895749092102|-0.9390503764152527,Location,-0.10790294408798218,"(win charlie)|(lose heidi)|(or (and (location charlie playground) (location heidi playground)) (and (location charlie street) (location heidi street)))|(or (and (win charlie)
         (location charlie playground)
         (lose heidi)
         (location heidi playground))
    (and (win charlie)
         (location charlie street)
         (lose heidi)
         (location heidi street)))",0.6888079047203064,0.8106634616851807|0.6608582139015198|0.9186108708381653|0.6888079047203064,0.9186108708381653,0.6608582139015198,,1,7,4,,,,False,1.0,-0.984177223273686,boy|beats|heidi|outside,0.8106634616851807
Sentence,sentence_group,train,boy beats heidi with difficulty,(win heidi)|(win sophia)|(lose charlie)|(win_manner with_ease),-0.3602176159620285,-0.14044144749641418|-0.6088355183601379|-0.1300622522830963|-0.5615312457084656,Manner,-0.039883468610545,(win charlie)|(lose heidi)|(win_manner with_difficulty)|(and (win charlie) (lose heidi) (win_manner with_difficulty)),0.00943684671074152,0.2418598085641861|-0.19562043249607086|0.10172156989574432|0.00943684671074152,,-0.19562043249607086,0.10172156989574432,1,4,4,,,,False,1.0,-0.7392441164702177,boy|beats|heidi|with|difficulty,0.2418598085641861
