"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",-0.0017556820533912,0.00462796363200166,167.242388750265,-0.379363839692024,0.999760406819405,-0.0155681489462663,0.0120567848394839
"SRN - LSTM","train",-0.00094851682206334,0.00462796363200167,167.242388705116,-0.204953387166764,0.999993627214751,-0.0147609837149797,0.0128639500708531
"SRN - Attn_AbsPE","train",0.0350608531891476,0.00523378680453439,246.470699282414,6.69894561978947,2.96337365757182e-09,0.0195015220461727,0.0506201843321224
"SRN - Attn_RoPE","train",0.0317280604348823,0.00523378680453437,246.470699180435,6.06216141769363,1.04672377099213e-07,0.0161687292918565,0.0472873915779082
"SRN - Attn_AbsPE_H80","train",0.0672308280175972,0.00523378680453437,246.470699258278,12.8455419619597,0,0.051671496874612,0.0827901591605825
"SRN - Attn_RoPE_H80","train",0.0661875973146775,0.00523378680453438,246.470697728639,12.6462157872641,0,0.0506282661708926,0.0817469284584623
"GRU - LSTM","train",0.000807165231327856,0.00462796363200164,167.242388675812,0.174410452525261,0.999997561205202,-0.0130053016616205,0.0146196321242762
"GRU - Attn_AbsPE","train",0.0368165352425388,0.00523378680453437,246.47069926679,7.03439719987107,4.12450518183505e-10,0.0212572040995572,0.0523758663855203
"GRU - Attn_RoPE","train",0.0334837424882735,0.00523378680453436,246.470699158396,6.39761299777523,1.64986811990175e-08,0.0179244113452316,0.0490430736313154
"GRU - Attn_AbsPE_H80","train",0.0689865100709885,0.00523378680453437,246.470699243782,13.1809935420413,0,0.053427178927999,0.0845458412139779
"GRU - Attn_RoPE_H80","train",0.0679432793680687,0.00523378680453437,246.470697585423,12.9816673673458,0,0.0523839482242068,0.0835026105119306
"LSTM - Attn_AbsPE","train",0.0360093700112109,0.00523378680453437,246.470699111052,6.88017516877333,1.02911512644965e-09,0.0204500388681505,0.0515687011542713
"LSTM - Attn_RoPE","train",0.0326765772569457,0.00523378680453437,246.470699008493,6.24339096667748,3.89094058084183e-08,0.0171172461138318,0.0482359084000595
"LSTM - Attn_AbsPE_H80","train",0.0681793448396606,0.00523378680453436,246.470699118737,13.0267715109436,0,0.0526200136965987,0.0837386759827225
"LSTM - Attn_RoPE_H80","train",0.0671361141367408,0.00523378680453438,246.470697434621,12.827445336248,0,0.0515767829927977,0.0826954452806839
"Attn_AbsPE - Attn_RoPE","train",-0.00333279275426525,0.00462796363200165,167.242389444271,-0.72014238210938,0.991208476169529,-0.0171452596464338,0.0104796741379033
"Attn_AbsPE - Attn_AbsPE_H80","train",0.0321699748284497,0.00462796363200167,167.242389519836,6.95121599616713,1.62199675912689e-09,0.0183575079363578,0.0459824417205416
"Attn_AbsPE - Attn_RoPE_H80","train",0.0311267441255299,0.00462796363200166,167.242389537492,6.72579704609025,5.5402686882644e-09,0.0173142772334546,0.0449392110176052
