"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",-0.00369309761424401,0.00629060974011994,144.66790947551,-0.587081025022163,0.997101006996388,-0.0225036957507092,0.0151175005222212
"SRN - LSTM","train","noent",-0.00199308652562598,0.00629060974011994,144.667909440467,-0.316835188950694,0.99991589228923,-0.020803684662155,0.0168175116109031
"SRN - Attn_AbsPE","train","noent",0.0338104647469495,0.00674879602882472,186.389370696693,5.00985132793196,2.57738992172074e-05,0.013693510015262,0.0539274194786369
"SRN - Attn_RoPE","train","noent",0.0336202120113312,0.00674879602882471,186.389370626371,4.98166070921928,2.92875903082912e-05,0.0135032572795625,0.0537371667430998
"SRN - Attn_AbsPE_H80","train","noent",0.0670307164817825,0.00674879602882471,186.389370652642,9.93224809217649,4.25215418431435e-14,0.0469137617500403,0.0871476712135247
"SRN - Attn_RoPE_H80","train","noent",0.0793976591335353,0.00674879602882472,186.389370089219,11.7647145941914,0,0.0592807044011235,0.0995146138659472
"GRU - LSTM","train","noent",0.00170001108861803,0.00629060974011992,144.667909418867,0.270245836071469,0.999967017197837,-0.0171105870479516,0.0205106092251877
"GRU - Attn_AbsPE","train","noent",0.0375035623611935,0.00674879602882471,186.389370695935,5.55707450647678,1.944975011825e-06,0.017386607629501,0.057620517092886
"GRU - Attn_RoPE","train","noent",0.0373133096255752,0.0067487960288247,186.389370629113,5.5288838877641,2.23220438999583e-06,0.0171963548938003,0.05743026435735
"GRU - Attn_AbsPE_H80","train","noent",0.0707238140960265,0.0067487960288247,186.389370666252,10.4794712707213,3.71924713249427e-14,0.0506068593642999,0.0908407688277532
"GRU - Attn_RoPE_H80","train","noent",0.0830907567477793,0.00674879602882471,186.38937004582,12.3119377727363,0,0.0629738020153179,0.103207711480241
"LSTM - Attn_AbsPE","train","noent",0.0358035512725755,0.00674879602882471,186.389370632771,5.30517608172707,6.54446268755215e-06,0.0156865965408072,0.0559205060043438
"LSTM - Attn_RoPE","train","noent",0.0356132985369572,0.0067487960288247,186.389370546715,5.27698546301438,7.47771410303244e-06,0.0154963438050834,0.0557302532688309
"LSTM - Attn_AbsPE_H80","train","noent",0.0690238030074085,0.0067487960288247,186.38937058282,10.2275728459716,4.34097202628436e-14,0.0489068482755816,0.0891407577392354
"LSTM - Attn_RoPE_H80","train","noent",0.0813907456591613,0.00674879602882471,186.389369968663,12.0600393479865,0,0.0612737909266061,0.101507700391716
"Attn_AbsPE - Attn_RoPE","train","noent",-0.000190252735618317,0.00629060974011987,144.667910236775,-0.0302439260227723,0.999999999932025,-0.0190008508706839,0.0186203453994473
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.033220251734833,0.00629060974011989,144.66791028558,5.28092714494158,9.49971852315379e-06,0.0144096535998546,0.0520308498698114
"Attn_AbsPE - Attn_RoPE_H80","train","noent",0.0455871943865858,0.00629060974011988,144.667910288337,7.24686417849807,4.93116991684417e-10,0.026776596251615,0.0643977925215567
"Attn_RoPE - Attn_AbsPE_H80","train","noent",0.0334105044704513,0.00629060974011988,144.667910239947,5.31117107096436,8.27687390669851e-06,0.0145999063353905,0.0522211026055122
"Attn_RoPE - Attn_RoPE_H80","train","noent",0.0457774471222042,0.00629060974011987,144.667910275984,7.27710810452086,4.18620138553649e-10,0.0269668489872103,0.064588045257198
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","noent",0.0123669426517528,0.00629060974011988,144.667910285946,1.96593703355649,0.440833778611501,-0.00644365548322522,0.0311775407867309
"SRN - GRU","test","noent",0.0197802437314495,0.0289954683252966,119.068162617423,0.682183971286044,0.993359346462283,-0.0671878583857898,0.106748345848689
"SRN - LSTM","test","noent",0.00485328999421281,0.0289954683252966,119.068162860399,0.167380983116546,0.999998064853211,-0.082114812119962,0.0918213921083876
