"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",-0.00461219124857967,0.00650534575587611,162.246625859961,-0.0237483343722109,0.0145239518750515,-0.70898479829663,0.999814951763343
"noent - ent","test","SRN",-0.0674368074369419,0.0290371589792708,119.753409399032,-0.153268831485614,0.0183952166117305,-2.32243131929966,0.254196323438711
"noent - ent","train","GRU",-0.00073736012687403,0.0065053457558761,162.246625886654,-0.0198740584088099,0.0183993381550618,-0.113346800392276,0.999999999999995
"noent - ent","test","GRU",-0.129867377080254,0.0290371589792711,119.753409169278,-0.215695547898751,-0.0440392062617579,-4.47245466310818,0.000248145224488128
"noent - ent","train","LSTM",-0.00252305184145438,0.0065053457558761,162.246625907309,-0.0216595813788733,0.0166134776959646,-0.387842850501125,0.999999897496595
"noent - ent","test","LSTM",-0.110205703175302,0.0290371589792711,119.753409416478,-0.196032415424275,-0.0243789909263292,-3.79533353293879,0.00323174782708757
"noent - ent","train","Attn_AbsPE",-0.00211141436418353,0.006505345755876,162.246625940241,-0.0212483314530347,0.0170255027246677,-0.324566048203723,0.999999990384493
"noent - ent","test","Attn_AbsPE",-0.101229826228575,0.029037158979271,119.753408849775,-0.187056849837606,-0.015402802619544,-3.48621661991247,0.00945468535254446
"noent - ent","train","Attn_RoPE",-0.00839649440147739,0.006505345755876,162.246626019846,-0.0275334408491474,0.0107404520461926,-1.29070686118308,0.943091573107521
"noent - ent","test","Attn_RoPE",-0.0675553843567209,0.0290371589792709,119.753408601233,-0.153383665405462,0.0182728966920205,-2.32651494607126,0.251927898971066
"noent - ent","train","Attn_AbsPE_H80",-0.00421196817695019,0.006505345755876,162.246626127098,-0.0233483068921093,0.014924370538209,-0.647462615364555,0.999935457428922
"noent - ent","test","Attn_AbsPE_H80",-0.0758238154619669,0.0290371589792709,119.753408758666,-0.161651214972139,0.0100035840482055,-2.61126839289257,0.128383691047016
"noent - ent","train","Attn_RoPE_H80",-0.0310323148862954,0.006505345755876,162.246626077518,-0.0501694118171185,-0.0118952179554723,-4.77027909827318,5.73302166898548e-05
"noent - ent","test","Attn_RoPE_H80",-0.105378430835827,0.029037158979271,119.753409009453,-0.191209259158345,-0.0195476025133083,-3.62908888266424,0.00580888786355749
