"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",0.0118256554537569,0.00808470294605284,166.807947978799,1.46271984668658,0.766351696113596,-0.0123044493290472,0.0359557602365611
"SRN - LSTM","train",0.00766161781560264,0.00808470294605285,166.807947534207,0.947668438373883,0.964047741341576,-0.0164684869679829,0.0317917225991882
"SRN - Attn_AbsPE","train",0.0418899916351195,0.00808470294605283,166.80794763985,5.18138908932595,1.2931602292654e-05,0.0177598868517161,0.066020096418523
"SRN - Attn_RoPE","train",0.0387815044086502,0.00808470294605284,166.807947865049,4.79689911520921,7.19662225585616e-05,0.0146513996256466,0.0629116091916538
"SRN - Attn_AbsPE_H80","train",0.0500557548152211,0.00808470294605284,166.807947962006,6.19141546068302,9.35117617784087e-08,0.0259256500323884,0.0741858595980538
"SRN - Attn_RoPE_H80","train",0.0514534438600522,0.00808470294605284,166.807946746505,6.36429615328948,3.81054919840196e-08,0.0273233390750695,0.075583548645035
"GRU - LSTM","train",-0.00416403763815428,0.00808470294605285,166.807947669548,-0.515051408312691,0.998614089967394,-0.0282941424215024,0.0199660671451939
"GRU - Attn_AbsPE","train",0.0300643361813626,0.00808470294605284,166.807947677258,3.71866924263937,0.00499973518719432,0.00593423139802584,0.0541944409646994
"GRU - Attn_RoPE","train",0.0269558489548933,0.00808470294605285,166.80794778597,3.33417926852263,0.0178630576981301,0.00282574417174499,0.0510859537380415
"GRU - Attn_AbsPE_H80","train",0.0382300993614642,0.00808470294605285,166.807947997577,4.72869561399644,9.65813278509531e-05,0.0140999945786921,0.0623602041442363
"GRU - Attn_RoPE_H80","train",0.0396277884062953,0.00808470294605285,166.807946673847,4.9015763066029,4.55364155395044e-05,0.01549768362118,0.0637578931914107
"LSTM - Attn_AbsPE","train",0.0342283738195169,0.00808470294605284,166.80794726658,4.23372065095206,0.000738817034271588,0.0100982690354445,0.0583584786035893
"LSTM - Attn_RoPE","train",0.0311198865930475,0.00808470294605285,166.807947411959,3.84923067683532,0.00314562074412372,0.00698978180924089,0.0552499913768542
"LSTM - Attn_AbsPE_H80","train",0.0423941369996185,0.00808470294605285,166.807947585901,5.24374702230913,9.70222487084449e-06,0.0182640322161191,0.0665242417831178
"LSTM - Attn_RoPE_H80","train",0.0437918260444496,0.00808470294605285,166.807946240685,5.41662771491559,4.3205421038639e-06,0.019661721258564,0.0679219308303352
"Attn_AbsPE - Attn_RoPE","train",-0.00310848722646937,0.00808470294605284,166.807947390916,-0.384489974116737,0.999740960823007,-0.0272385920103196,0.0210216175573809
"Attn_AbsPE - Attn_AbsPE_H80","train",0.00816576318010157,0.00808470294605285,166.807947557063,1.01002637135707,0.951128446535247,-0.0159643416034474,0.0322958679636506
"Attn_AbsPE - Attn_RoPE_H80","train",0.0095634522249327,0.00808470294605284,166.807946654936,1.18290706396353,0.899734025636307,-0.0145666525602167,0.0336935570100821
"Attn_RoPE - Attn_AbsPE_H80","train",0.0112742504065709,0.00808470294605284,166.807947877643,1.39451634547381,0.804128604748242,-0.0128558543764146,0.0354043551895565
"Attn_RoPE - Attn_RoPE_H80","train",0.0126719394514021,0.00808470294605284,166.807946681414,1.56739703808027,0.70321010724399,-0.0114581653336976,0.0368020442365017
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",0.00139768904483114,0.00808470294605284,166.80794673366,0.172880692606464,0.999997685743642,-0.0227324157401802,0.0255277938298425
"SRN - GRU","test",0.121059001060422,0.0260881781138186,129.337217157921,4.64037774244952,0.000167950554375462,0.042917579603155,0.19920042251769
"SRN - LSTM","test",0.102503363939921,0.0260881781138187,129.337216538897,3.92911162645066,0.00258294712218188,0.0243619424767274,0.180644785403114
"SRN - Attn_AbsPE","test",0.296730356273744,0.0260881781138184,129.337215353416,11.3741310328057,0,0.218588934799246,0.374871777748241
"SRN - Attn_RoPE","test",0.312154194324957,0.0260881781138186,129.337217906458,11.9653504726577,0,0.234012772874836,0.390295615775079
"SRN - Attn_AbsPE_H80","test",0.385029813921673,0.0260881781138185,129.337216089276,14.7587850804242,0,0.306888392454197,0.463171235389149
"SRN - Attn_RoPE_H80","test",0.356344544600483,0.0260881781138186,129.337216742494,13.6592345791956,0,0.278203123139254,0.434485966061713
"GRU - LSTM","test",-0.0185556371205017,0.0260881781138189,129.337216462438,-0.711266115998834,0.991713001456893,-0.0966970585844192,0.0595857843434157
"GRU - Attn_AbsPE","test",0.175671355213321,0.0260881781138185,129.337215272229,6.7337532903561,1.02084599662433e-08,0.0975299337380326,0.25381277668861
"GRU - Attn_RoPE","test",0.191095193264535,0.0260881781138186,129.337217716098,7.32497273020815,4.77726413983248e-10,0.112953771812599,0.26923661471647
"GRU - Attn_AbsPE_H80","test",0.26397081286125,0.0260881781138186,129.337215935061,10.1184073379746,2.17603712826531e-14,0.185829391392291,0.342112234330209
"GRU - Attn_RoPE_H80","test",0.235285543540061,0.0260881781138187,129.337216559865,9.018856836746,7.01660951563099e-14,0.157144122077087,0.313426965003035
"LSTM - Attn_AbsPE","test",0.194226992333823,0.0260881781138187,129.337214746437,7.44501940635489,2.5342272724771e-10,0.116085570853512,0.272368413814133
"LSTM - Attn_RoPE","test",0.209650830385036,0.0260881781138189,129.337217241923,8.03623884620691,1.06051833981269e-11,0.13150940892857,0.287792251841503
"LSTM - Attn_AbsPE_H80","test",0.282526449981752,0.0260881781138188,129.337215464268,10.8296734539734,3.44169137633799e-15,0.204385028508312,0.360667871455192
"LSTM - Attn_RoPE_H80","test",0.253841180660563,0.0260881781138189,129.337216133384,9.73012295274476,2.44249065417534e-14,0.175699759193508,0.331982602127617
"Attn_AbsPE - Attn_RoPE","test",0.0154238380512136,0.0260881781138187,129.33721601578,0.591219439852096,0.996974418305373,-0.0627175834169609,0.093565259519388
"Attn_AbsPE - Attn_AbsPE_H80","test",0.0882994576479292,0.0260881781138187,129.337215967613,3.38465404761852,0.0160287812055609,0.0101580361792911,0.166440879116567
"Attn_AbsPE - Attn_RoPE_H80","test",0.0596141883267398,0.0260881781138187,129.337215765776,2.28510354638995,0.259231732452137,-0.0185272331438304,0.13775560979731
"Attn_RoPE - Attn_AbsPE_H80","test",0.0728756195967156,0.0260881781138188,129.33721673555,2.79343460776641,0.0847474923530198,-0.00526580186459082,0.151017041058022
"Attn_RoPE - Attn_RoPE_H80","test",0.0441903502755262,0.0260881781138188,129.337216903003,1.69388410653785,0.621359024541536,-0.0339510711841739,0.122331771735226
"Attn_AbsPE_H80 - Attn_RoPE_H80","test",-0.0286852693211893,0.0260881781138187,129.337216420466,-1.09955050122856,0.927220939235483,-0.106826690785503,0.0494561521431243
