"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",0.013014064924394,0.01086978636147,137.592010456271,1.19726961428835,0.894144395512249,-0.0195131273009935,0.0455412571497816
"SRN - LSTM","train","noent",0.00786219433005529,0.01086978636147,137.592010160718,0.723307162496245,0.990953316138995,-0.0246649978963662,0.0403893865564768
"SRN - Attn_AbsPE","train","noent",0.0452212235823671,0.01086978636147,137.592010297051,4.1602679278649,0.00107228077968002,0.0126940313564241,0.0777484158083102
"SRN - Attn_RoPE","train","noent",0.0423843769902126,0.01086978636147,137.592010046268,3.89928335118452,0.00280500725280786,0.00985718476338465,0.0749115692170406
"SRN - Attn_AbsPE_H80","train","noent",0.0646056802784991,0.01086978636147,137.592010392424,5.94360166152904,4.52328686950665e-07,0.0320784880528925,0.0971328725041056
"SRN - Attn_RoPE_H80","train","noent",0.0735460345921266,0.01086978636147,137.592009726445,6.7660975244945,7.30072668986281e-09,0.0410188423641733,0.10607322682008
"GRU - LSTM","train","noent",-0.00515187059433874,0.0108697863614701,137.592010324138,-0.473962451792106,0.999130213754085,-0.0376790628201894,0.0273753216315119
"GRU - Attn_AbsPE","train","noent",0.0322071586579731,0.01086978636147,137.592010404508,2.96299831357655,0.0541636361984102,-0.000320033567596537,0.0647343508835427
"GRU - Attn_RoPE","train","noent",0.0293703120658186,0.01086978636147,137.592010148881,2.70201373689616,0.105527307419714,-0.0031568801606446,0.0618975042922818
"GRU - Attn_AbsPE_H80","train","noent",0.051591615354105,0.0108697863614701,137.592010505229,4.74633204724069,0.000103194513367821,0.0190644231288928,0.0841188075793173
"GRU - Attn_RoPE_H80","train","noent",0.0605319696677326,0.01086978636147,137.59200995554,5.56882791020615,2.68652628665489e-06,0.0280047774405884,0.0930591618948768
"LSTM - Attn_AbsPE","train","noent",0.0373590292523118,0.01086978636147,137.592010118331,3.43696076536865,0.0134105673938075,0.0048318370257378,0.0698862214788858
"LSTM - Attn_RoPE","train","noent",0.0345221826601574,0.01086978636147,137.59200987274,3.17597618868827,0.029748062030602,0.001994990432724,0.0670493748875907
"LSTM - Attn_AbsPE_H80","train","noent",0.0567434859484438,0.0108697863614701,137.592010251949,5.22029449903279,1.32115624457141e-05,0.0242162937223415,0.089270678174546
"LSTM - Attn_RoPE_H80","train","noent",0.0656838402620713,0.0108697863614701,137.592009541015,6.04279036199825,2.79173920092468e-07,0.0331566480334744,0.0982110324906682
"Attn_AbsPE - Attn_RoPE","train","noent",-0.00283684659215447,0.01086978636147,137.592010064144,-0.260984576680384,0.999973102620007,-0.0353640388189136,0.0296903456346047
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.019384456696132,0.01086978636147,137.592010432112,1.78333373366414,0.561532844327948,-0.0131427355293341,0.0519116489215981
"Attn_AbsPE - Attn_RoPE_H80","train","noent",0.0283248110097595,0.01086978636147,137.592009939397,2.60582959662961,0.132282202454143,-0.00420238121744117,0.0608520032369601
"Attn_RoPE - Attn_AbsPE_H80","train","noent",0.0222213032882864,0.01086978636147,137.592010236384,2.04431831034453,0.391948036415124,-0.0103058889378709,0.0547484955144438
"Attn_RoPE - Attn_RoPE_H80","train","noent",0.031161657601914,0.01086978636147,137.592009662811,2.86681417330999,0.0698761098963152,-0.0013655346262554,0.0636888498300833
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","noent",0.00894035431362752,0.0108697863614701,137.592009924399,0.822495862965462,0.982266332311697,-0.0235868379136229,0.041467546540878
"SRN - GRU","test","noent",0.0584307040185251,0.0367212169345543,126.93572013645,1.59119737569324,0.688172799525766,-0.0515925654328828,0.168453973469933
"SRN - LSTM","test","noent",0.0756319245604087,0.0367212169345546,126.93571927012,2.05962467679657,0.383095731930467,-0.0343913449031025,0.18565519402392
"SRN - Attn_AbsPE","test","noent",0.307592529687029,0.0367212169345545,126.935719659979,8.37642527575347,1.79911641140507e-12,0.197569260228956,0.417615799145101
"SRN - Attn_RoPE","test","noent",0.29813469117331,0.0367212169345541,126.935720153271,8.11886740313254,7.3862027605287e-12,0.188111421722129,0.408157960624492
"SRN - Attn_AbsPE_H80","test","noent",0.367958888561831,0.0367212169345543,126.935719393773,10.0203348167251,0,0.257935619100056,0.477982158023606
"SRN - Attn_RoPE_H80","test","noent",0.358595381197331,0.0367212169345542,126.935719620457,9.76534579004916,0,0.248572111738715,0.468618650655947
"GRU - LSTM","test","noent",0.0172012205418836,0.0367212169345544,126.935719802101,0.468427301103341,0.999184110923222,-0.0928220489142026,0.12722448999797
"GRU - Attn_AbsPE","test","noent",0.249161825668504,0.0367212169345544,126.935719768802,6.78522790006026,8.28574808764415e-09,0.139138556211967,0.35918509512504
"GRU - Attn_RoPE","test","noent",0.239703987154785,0.036721216934554,126.935720241952,6.52767002743931,3.02958335085535e-08,0.129680717704846,0.349727256604725
"GRU - Attn_AbsPE_H80","test","noent",0.309528184543306,0.0367212169345542,126.935719674002,8.42913744103191,1.34547928354323e-12,0.199504915085446,0.419551454001166
"GRU - Attn_RoPE_H80","test","noent",0.300164677178806,0.0367212169345542,126.935719767773,8.17414841435593,5.46540590562472e-12,0.190141407722253,0.410187946635359
