"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",-0.0102397429843506,0.0105470817401886,122.089200975455,-0.0414597450781247,0.0209802591094234,-0.970860303977076,0.995825579661945
"noent - ent","test","SRN",-0.019438281790546,0.0366253450177186,125.616527094733,-0.127802860175457,0.0889262965943653,-0.530733069712849,0.999995855500543
"noent - ent","train","GRU",-0.0126165619256248,0.0105470817401886,122.089201255311,-0.0438369565368018,0.0186038326855522,-1.19621353436094,0.972344257752699
"noent - ent","test","GRU",0.105818312293249,0.0366253450177184,125.61652631711,-0.00254546611999433,0.214182090706492,2.88920997855602,0.0612416755144318
"noent - ent","train","LSTM",-0.0106408960132559,0.0105470817401887,122.089201059822,-0.0418606681002298,0.0205788760737179,-1.00889480857153,0.993937437015448
"noent - ent","test","LSTM",0.034304596968478,0.0366253450177184,125.616526733437,-0.0740584866965453,0.142667680633501,0.936635462461373,0.997091187338379
"noent - ent","train","Attn_AbsPE",-0.0169022068788458,0.0105470817401886,122.089201701904,-0.0481223760730942,0.0143179623154026,-1.60254820197719,0.79697371519349
"noent - ent","test","Attn_AbsPE",-0.0411626286171161,0.0366253450177185,125.616527547096,-0.149526958645205,0.0672017014109732,-1.12388370941496,0.983735276744674
"noent - ent","train","Attn_RoPE",-0.0174454881474756,0.0105470817401886,122.089200721395,-0.0486655918344921,0.013774615539541,-1.65405830515196,0.760795310805183
"noent - ent","test","Attn_RoPE",0.00860072451274779,0.0366253450177178,125.616527368934,-0.0997627921680798,0.116964241193575,0.234829856444687,0.999999999918956
"noent - ent","train","Attn_AbsPE_H80",-0.0393395939109066,0.0105470817401886,122.089201204886,-0.0705595234536273,-0.00811966436818577,-3.72990319786816,0.00407007163623874
"noent - ent","test","Attn_AbsPE_H80",0.014703568929137,0.0366253450177182,125.616527251533,-0.0936606612464444,0.123067799104718,0.40145885102308,0.999999887443544
"noent - ent","train","Attn_RoPE_H80",-0.0544249244484993,0.0105470817401887,122.089201128211,-0.0856450855982938,-0.0232047632987048,-5.16018798272117,1.36116027638078e-05
"noent - ent","test","Attn_RoPE_H80",-0.0239399549842412,0.0366253450177181,125.616526846719,-0.132305560274125,0.0844256503056423,-0.653644490520428,0.99994636725507
