"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",-9.24857142904981e-05,0.0078559706608112,76.5464714837347,-0.011772665439276,1,-0.0238814546691237,0.0236964832405427
"SRN - LSTM","train",-0.000787694444435707,0.00785597066081122,76.5464714975664,-0.100266978893525,0.999999907029673,-0.0245766633991565,0.0230012745102851
"SRN - Attn_AbsPE","train",0.0323782896822177,0.00869983308201854,111.122683678338,3.72171389691827,0.00562709532854777,0.00625220997248818,0.0585043693919472
"SRN - Attn_RoPE","train",0.0302341753964733,0.00869983308201854,111.122683684041,3.47525925054397,0.0125403540749669,0.00410809568676717,0.0563602551061795
"SRN - Attn_AbsPE_H80","train",0.0735175571425035,0.00869983308201853,111.122683671114,8.45045605466329,2.71405120599866e-12,0.0473914774327352,0.0996436368522718
"SRN - Attn_RoPE_H80","train",0.0701338380949106,0.00869983308201859,111.122682437727,8.06151536859575,1.99498195740944e-11,0.0440077583798127,0.0962599178100084
"GRU - LSTM","train",-0.000695208730145209,0.00785597066081119,76.5464714974469,-0.088494313454249,0.999999955989383,-0.0244841776848664,0.023093760224576
"GRU - Attn_AbsPE","train",0.0324707753965082,0.00869983308201853,111.122683722224,3.73234464275197,0.00542978256789983,0.00634469568696701,0.0585968551060494
"GRU - Attn_RoPE","train",0.0303266611107638,0.00869983308201852,111.122683699392,3.48588999637767,0.0121271813192673,0.00420058140112178,0.0564527408204059
"GRU - Attn_AbsPE_H80","train",0.073610042856794,0.00869983308201852,111.122683710517,8.46108680049699,2.57083243582201e-12,0.0474839631472024,0.0997361225663855
"GRU - Attn_RoPE_H80","train",0.0702263238092011,0.00869983308201858,111.122682464916,8.07214611442945,1.88880022733429e-11,0.044100244094218,0.0963524035241842
"LSTM - Attn_AbsPE","train",0.0331659841266534,0.00869983308201854,111.122683687631,3.81225522535637,0.00414007286820672,0.00703990441696008,0.0592920638363468
"LSTM - Attn_RoPE","train",0.0310218698409091,0.00869983308201854,111.12268366986,3.56580057898207,0.00939792628597125,0.0048957901311408,0.0571479495506773
"LSTM - Attn_AbsPE_H80","train",0.0743052515869392,0.00869983308201853,111.122683677656,8.54099738310139,1.71718195218773e-12,0.0481791718772015,0.100431331296677
"LSTM - Attn_RoPE_H80","train",0.0709215325393463,0.00869983308201859,111.122682414523,8.15205669703385,1.25224275393521e-11,0.0447954528241468,0.0970476122545457
"Attn_AbsPE - Attn_RoPE","train",-0.00214411428574436,0.0078559706608111,76.5464723011082,-0.272927990482463,0.999963829066986,-0.0259330832337862,0.0216448546622974
"Attn_AbsPE - Attn_AbsPE_H80","train",0.0411392674602858,0.0078559706608111,76.5464723182451,5.23668802195327,2.80953247815408e-05,0.0173502985123864,0.0649282364081851
"Attn_AbsPE - Attn_RoPE_H80","train",0.0377555484126929,0.0078559706608111,76.5464723335807,4.80596861200532,0.000148477373456024,0.013966579464922,0.0615445173604638
"Attn_RoPE - Attn_AbsPE_H80","train",0.0432833817460301,0.0078559706608111,76.546472311629,5.50961601243573,9.45040480859749e-06,0.0194944127980764,0.0670723506939839
"Attn_RoPE - Attn_RoPE_H80","train",0.0398996626984372,0.0078559706608111,76.5464722951681,5.07889660248779,5.2133493127382e-05,0.0161106937503465,0.0636886316465279
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",-0.0033837190475929,0.0078559706608111,76.5464723180717,-0.430719409947942,0.999482151407554,-0.0271726879954909,0.0204052499003051
"SRN - GRU","test",-0.00270766363642012,0.0267406467757956,58.797733847781,-0.101256475175125,0.999999899169157,-0.0843385630233276,0.0789232357504873
"SRN - LSTM","test",-0.0465899818180915,0.0267406467757958,58.7977341233835,-1.74229076090494,0.591175368524782,-0.128220881191673,0.0350409175554899
"SRN - Attn_AbsPE","test",0.109263078787558,0.0272347894548129,63.218323372458,4.01189364686823,0.00293798142717172,0.0263259767584811,0.192200180816634
"SRN - Attn_RoPE","test",0.0390155999994963,0.0272347894548131,63.218323860605,1.43256477397152,0.782182867791935,-0.0439215020088359,0.121952702007829
"SRN - Attn_AbsPE_H80","test",0.113296056060055,0.0272347894548128,63.2183237536778,4.15997546990523,0.00180755207856909,0.0303589540471808,0.196233158072929
"SRN - Attn_RoPE_H80","test",0.100979351514789,0.0272347894548119,63.2183230433804,3.70773387774244,0.00766831332727547,0.0180422494717364,0.183916453557841
"GRU - LSTM","test",-0.0438823181816713,0.0267406467757956,58.7977341439235,-1.64103428572983,0.656802604544414,-0.125513217554255,0.0377485811909127
"GRU - Attn_AbsPE","test",0.111970742423978,0.0272347894548127,63.2183237142697,4.11131294441461,0.00212306418169361,0.0290336404094305,0.194907844438525
"GRU - Attn_RoPE","test",0.0417232636359165,0.0272347894548129,63.2183240730286,1.53198407151788,0.724706925408626,-0.0412138383633909,0.124660365635224
"GRU - Attn_AbsPE_H80","test",0.116003719696475,0.0272347894548125,63.218324003288,4.25939476745161,0.00129640709825296,0.033066617694212,0.198940821698738
"GRU - Attn_RoPE_H80","test",0.103687015151209,0.0272347894548117,63.2183232937545,3.80715317528882,0.00563795815930712,0.0207499131187963,0.186624117183621
"LSTM - Attn_AbsPE","test",0.155853060605649,0.027234789454813,63.2183235310293,5.72257262587747,6.29153673570304e-06,0.0729159585833117,0.238790162627987
"LSTM - Attn_RoPE","test",0.0856055818175878,0.0272347894548132,63.2183239518625,3.14324375298076,0.0387037048191031,0.00266847981314153,0.168542683822034
"LSTM - Attn_AbsPE_H80","test",0.159886037878146,0.0272347894548129,63.2183238608269,5.87065444891447,3.55055577261343e-06,0.0769489358698243,0.242823139886468
"LSTM - Attn_RoPE_H80","test",0.14756933333288,0.027234789454812,63.2183231880381,5.41841285675174,2.00804793973886e-05,0.0646322312959709,0.230506435369789
"Attn_AbsPE - Attn_RoPE","test",-0.0702474787880615,0.0267406467757984,58.7977364689652,-2.62699250983109,0.136600422129165,-0.151878378048206,0.0113834204720826
"Attn_AbsPE - Attn_AbsPE_H80","test",0.00403297727249695,0.026740646775798,58.7977367146712,0.150818239600212,0.999998908705188,-0.077597921975762,0.0856638765207559
