"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",-0.00701319104477234,0.00627258871749909,77.2613873169696,-1.11806964566434,0.920685234742172,-0.0260027603882546,0.01197637829871
"SRN - LSTM","train","noent",-0.00287832985074731,0.0062725887174991,77.2613873661762,-0.458874314956666,0.999256071306995,-0.0218678991939107,0.0161112394924161
"SRN - Attn_AbsPE","train","noent",0.0265640895521283,0.00767077405176625,150.877020581424,3.46302594403908,0.0120893128053322,0.00363977138251528,0.0494884077217413
"SRN - Attn_RoPE","train","noent",0.0293962223879521,0.00767077405176625,150.877020648439,3.83223677161804,0.00345027907373008,0.00647190421847377,0.0523205405574305
"SRN - Attn_AbsPE_H80","train","noent",0.0476693731342147,0.00767077405176625,150.877020650952,6.21441497461895,9.9930434704909e-08,0.024745054964746,0.0705936913036833
"SRN - Attn_RoPE_H80","train","noent",0.0631090074625767,0.00767077405176622,150.877021117519,8.22720197944634,1.74404934938366e-12,0.0401846892940651,0.0860333256310883
"GRU - LSTM","train","noent",0.00413486119402503,0.00627258871749909,77.2613872639271,0.659195330707672,0.994376470635804,-0.0148547081498049,0.023124430537855
"GRU - Attn_AbsPE","train","noent",0.0335772805969006,0.00767077405176624,150.877020455579,4.37730017470261,0.000439770367937187,0.0106529624270238,0.0565015987667774
"GRU - Attn_RoPE","train","noent",0.0364094134327245,0.00767077405176624,150.877020486989,4.74651100228158,9.60720766109979e-05,0.0134850952629161,0.0593337316025328
"GRU - Attn_AbsPE_H80","train","noent",0.054682564178987,0.00767077405176624,150.877020515639,7.12868920528248,8.20074452789754e-10,0.0317582460092348,0.0776068823487392
"GRU - Attn_RoPE_H80","train","noent",0.070122198507349,0.00767077405176621,150.877020613199,9.14147621010988,1.4432899320127e-14,0.0471978803377965,0.0930465166769015
"LSTM - Attn_AbsPE","train","noent",0.0294424194028756,0.00767077405176625,150.877020487275,3.83825924270266,0.00337706524600323,0.00651810123306602,0.0523667375726852
"LSTM - Attn_RoPE","train","noent",0.0322745522386994,0.00767077405176625,150.877020493088,4.20747007028163,0.000856621802173718,0.00935023406890446,0.0551988704084944
"LSTM - Attn_AbsPE_H80","train","noent",0.050547702984962,0.00767077405176626,150.877020537871,6.58964827328253,1.4504561440809e-08,0.0276233848152566,0.0734720211546673
"LSTM - Attn_RoPE_H80","train","noent",0.065987337313324,0.00767077405176622,150.877020757064,8.60243527810992,2.02726724296554e-13,0.0430630191440715,0.0889116554825765
