"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",-0.0126254791045669,0.00682819305671976,102.870508048186,-0.0328526458617575,0.00760168765262371,-1.84902198864192,0.588175800821444
"noent - ent","test","SRN",-0.0303161586206419,0.0345592102739689,58.9785837967545,-0.134350543290543,0.0737182260492596,-0.877223709115744,0.997659433339709
"noent - ent","train","GRU",-0.00514731791053643,0.00682819305671976,102.8705077026,-0.0253752858659389,0.015080650044866,-0.75383309578086,0.999587071781861
"noent - ent","test","GRU",-0.149995124137931,0.0345592102739689,58.9785839593875,-0.254026479796192,-0.0459637684796695,-4.34023587196702,0.000782652848679066
"noent - ent","train","LSTM",-0.00787371940307066,0.00682819305671976,102.870507698831,-0.0281015802088135,0.0123541414026722,-1.15311903715464,0.974600829564887
"noent - ent","test","LSTM",-0.132788224137841,0.0345592102739689,58.9785841082577,-0.236817313975995,-0.028759134299687,-3.84233965664028,0.00414503618261186
"noent - ent","train","Attn_AbsPE",0.00152104179095756,0.00682819305671977,102.870508020264,-0.0187071834284259,0.021749267010341,0.222759048890785,0.999999999932446
"noent - ent","test","Attn_AbsPE",-0.0637553137929942,0.0345592102739693,58.9785842805157,-0.167784860729139,0.0402742331431506,-1.84481396674206,0.593769328718659
"noent - ent","train","Attn_RoPE",-0.0129020925374032,0.00682819305671976,102.870507927318,-0.0331293666164912,0.00732518154168472,-1.88953247663466,0.555572966091223
"noent - ent","test","Attn_RoPE",-0.0383117827585608,0.034559210273969,58.9785836750911,-0.142346139096322,0.0657225735792001,-1.10858386099807,0.98019127851883
"noent - ent","train","Attn_AbsPE_H80",0.00750215074617991,0.00682819305671976,102.870508035386,-0.0127263615580173,0.0277306630503771,1.09870220186538,0.983000514568027
"noent - ent","test","Attn_AbsPE_H80",-0.0158669620688728,0.0345592102739691,58.9785838060923,-0.119904737765059,0.0881708136273133,-0.459123977170978,0.999998680970153
"noent - ent","train","Attn_RoPE_H80",-0.0245243835821765,0.00682819305671976,102.870508222803,-0.0447510048208365,-0.00429776234351647,-3.59163593918036,0.00693610722351123
"noent - ent","test","Attn_RoPE_H80",-0.0128141551722718,0.0345592102739692,58.9785838333017,-0.116848717493689,0.0912204071491451,-0.370788425739107,0.99999991684144
