"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",0.00735595972222,0.00737597944387379,379.371266091939,0.997285821929667,0.954418308228637,-0.0145082144222155,0.0292201338666555
"SRN - LSTM","train",0.00415922430554805,0.00737597944387377,379.371267082817,0.563887730056318,0.997730420547713,-0.0177049498385831,0.0260233984496792
"SRN - Attn_AbsPE","train",0.0325701958333319,0.00737597944387379,379.371266177823,4.41571130738216,0.000263568139117543,0.0107060216889209,0.0544343699777428
"SRN - Attn_RoPE","train",0.0289921256944419,0.00737597944387377,379.371266322708,3.93061367850228,0.00193055325309599,0.00712795155007052,0.0508562998388133
"SRN - Attn_AbsPE_H80","train",0.0247800194444446,0.00737597944387379,379.371266307681,3.35955646745003,0.0149370191525798,0.00291584530006475,0.0466441935888245
"SRN - Attn_RoPE_H80","train",0.036524219444445,0.00737597944387379,379.37126836403,4.95177890914279,2.28060285900611e-05,0.0146600453007167,0.0583883935881732
"GRU - LSTM","train",-0.00319673541667195,0.00737597944387379,379.371266288695,-0.43339809187335,0.999491432036069,-0.0250609095610507,0.0186674387277068
"GRU - Attn_AbsPE","train",0.0252142361111118,0.0073759794438738,379.371265765224,3.41842548545248,0.0122903482466937,0.00335006196657732,0.0470784102556464
"GRU - Attn_RoPE","train",0.0216361659722219,0.00737597944387379,379.371265776882,2.93332785657261,0.0545310822963234,-0.00022800817231431,0.0435003401167581
"GRU - Attn_AbsPE_H80","train",0.0174240597222246,0.00737597944387379,379.371265761969,2.36227064552036,0.217741667913576,-0.00444011442232245,0.0392882338667717
"GRU - Attn_RoPE_H80","train",0.029168259722225,0.00737597944387379,379.37126718964,3.95449308721312,0.00175949481370841,0.00730408557812988,0.0510324338663201
"LSTM - Attn_AbsPE","train",0.0284109715277838,0.00737597944387379,379.371266389549,3.85182357732584,0.0026115730906966,0.00654679738343292,0.0502751456721347
"LSTM - Attn_RoPE","train",0.0248329013888939,0.00737597944387377,379.371266594141,3.36672594844596,0.0145893809430393,0.0029687272446045,0.0466970755331832
"LSTM - Attn_AbsPE_H80","train",0.0206207951388966,0.00737597944387379,379.371266455974,2.79566873739371,0.079111588733321,-0.0012433790054185,0.0424849692832117
"LSTM - Attn_RoPE_H80","train",0.0323649951388969,0.00737597944387378,379.371268204331,4.38789117908648,0.000297202922575734,0.010500820995109,0.0542291692826849
"Attn_AbsPE - Attn_RoPE","train",-0.00357807013888994,0.00737597944387378,379.371265967787,-0.485097628879885,0.999030072518245,-0.0254422442833617,0.0182861040055818
"Attn_AbsPE - Attn_AbsPE_H80","train",-0.0077901763888872,0.0073759794438738,379.371265688416,-1.05615483993213,0.940225123830296,-0.0296543505334617,0.0140739977556873
"Attn_AbsPE - Attn_RoPE_H80","train",0.00395402361111314,0.00737597944387378,379.371266778611,0.536067601760632,0.998291570156446,-0.0179101505331055,0.0258181977553318
"Attn_RoPE - Attn_AbsPE_H80","train",-0.00421210624999726,0.00737597944387378,379.371265847082,-0.571057211052246,0.99756436156038,-0.0260762803945144,0.0176520678945199
"Attn_RoPE - Attn_RoPE_H80","train",0.00753209375000308,0.00737597944387377,379.371266794632,1.02116523064052,0.948976914435997,-0.0143320803942125,0.0293962678942187
