"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",0.00603892361110608,0.00851754053851621,206.40582637258,0.708998517095181,0.99194969531237,-0.0193233524517235,0.0314011996739356
"SRN - LSTM","train","noent",0.00261589027777173,0.00851754053851619,206.40582686224,0.307118030837976,0.999930744702586,-0.0227463857844577,0.0279781663400012
"SRN - Attn_AbsPE","train","noent",0.0330976305555557,0.00851754053851621,206.405826528011,3.88582013855862,0.00259151023434145,0.00773535449291987,0.0584599066181915
"SRN - Attn_RoPE","train","noent",0.0365605972222203,0.0085175405385162,206.40582637744,4.29238898915641,0.000535308089181563,0.0111983211594041,0.0619228732850365
"SRN - Attn_AbsPE_H80","train","noent",0.0336501166666663,0.0085175405385162,206.40582663072,3.9506846506337,0.00203450873053101,0.00828784060415352,0.059012392729179
"SRN - Attn_RoPE_H80","train","noent",0.0476236527777787,0.00851754053851621,206.405826497988,5.59124462776845,1.47312939202671e-06,0.0222613767151109,0.0729859288404466
"GRU - LSTM","train","noent",-0.00342303333333435,0.0085175405385162,206.405826660103,-0.401880486257205,0.999667273949,-0.0287853093958138,0.0219392427291451
"GRU - Attn_AbsPE","train","noent",0.0270587069444496,0.00851754053851622,206.405826549359,3.17682162146343,0.0281070942686471,0.00169643088184267,0.0524209830070565
"GRU - Attn_RoPE","train","noent",0.0305216736111142,0.0085175405385162,206.405826318565,3.58339047206123,0.00760964871406222,0.00515939754822371,0.0558839496740047
"GRU - Attn_AbsPE_H80","train","noent",0.0276111930555602,0.00851754053851621,206.405826463249,3.24168613353852,0.0230821564137257,0.00224891699284782,0.0529734691182726
"GRU - Attn_RoPE_H80","train","noent",0.0415847291666727,0.00851754053851621,206.405826240783,4.88224611067327,4.27851843088911e-05,0.0162224531036844,0.0669470052296609
"LSTM - Attn_AbsPE","train","noent",0.030481740277784,0.0085175405385162,206.405826773547,3.57870210772064,0.00773250670849768,0.00511946421544729,0.0558440163401206
"LSTM - Attn_RoPE","train","noent",0.0339447069444486,0.00851754053851619,206.405826619388,3.98527095831844,0.00178549215409529,0.00858243088192,0.0593069830069771
"LSTM - Attn_AbsPE_H80","train","noent",0.0310342263888946,0.0085175405385162,206.405826778717,3.64356661979573,0.00618396210371919,0.00567195032656197,0.0563965024512271
"LSTM - Attn_RoPE_H80","train","noent",0.045007762500007,0.00851754053851618,206.405826707668,5.28412659693049,6.60778950167806e-06,0.0196454864375892,0.0703700385624248
"Attn_AbsPE - Attn_RoPE","train","noent",0.00346296666666461,0.0085175405385162,206.405826489795,0.40656885059779,0.999644176678695,-0.0218993093960239,0.0288252427293531
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.000552486111110597,0.00851754053851621,206.405826624189,0.0648645120750834,0.999999993476855,-0.024809789951409,0.0259147621736302
