"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",-0.0157891930559543,0.00679903561792283,87.3269657196096,-0.0360360401916614,0.00445765407975282,-2.32226950162353,0.260329228899033
"noent - ent","test","SRN",-0.0357074083336152,0.0537763735156581,56.5973220950969,-0.198140805482681,0.12672598881545,-0.663998072001233,0.99989750832077
"noent - ent","train","GRU",-0.0131551208337265,0.00679903561792283,87.3269658493364,-0.0334025969323497,0.00709235526489676,-1.93485099549243,0.528519769045923
"noent - ent","test","GRU",0.113447029166787,0.0537763735156567,56.5973220442737,-0.0489838439255931,0.275877902259166,2.10960728197406,0.40223550646657
"noent - ent","train","LSTM",-0.0127025250004017,0.00679903561792282,87.3269658840862,-0.0329496238775346,0.0075445738767313,-1.86828334402555,0.581798250639105
"noent - ent","test","LSTM",0.0202403958330906,0.0537763735156574,56.5973222894883,-0.142186567803712,0.182667359469893,0.376380825069907,0.999999913746402
"noent - ent","train","Attn_AbsPE",-0.016844062500402,0.00679903561792283,87.3269661007528,-0.0370915236669868,0.00340339866618289,-2.47741936459335,0.18420389846827
"noent - ent","test","Attn_AbsPE",-0.0208158645838292,0.0537763735156571,56.5973220987092,-0.183245086187157,0.141613357019498,-0.387081969701223,0.999999875165951
"noent - ent","train","Attn_RoPE",-0.0309261361115111,0.00679903561792283,87.3269656885714,-0.0511729821076806,-0.0106792901153415,-4.54860628027704,0.000244323406916491
"noent - ent","test","Attn_RoPE",-0.0242383125004627,0.0537763735156562,56.5973221723017,-0.186671033616484,0.138194408615558,-0.450724191980072,0.999999106604809
"noent - ent","train","Attn_AbsPE_H80",-0.0335293875003976,0.00679903561792281,87.3269660652348,-0.0537769123017961,-0.013281862698999,-4.93149166802588,5.35079093341162e-05
"noent - ent","test","Attn_AbsPE_H80",-0.0735532437501896,0.053776373515656,56.5973221591286,-0.235991101391146,0.0888846138907668,-1.36776132233565,0.912569463011492
"noent - ent","train","Attn_RoPE_H80",-0.0379880597226218,0.00679903561792279,87.3269652318528,-0.0582346459049106,-0.017741473540333,-5.58727176284859,3.61074586896493e-06
"noent - ent","test","Attn_RoPE_H80",-0.0564772541668884,0.0537763735156567,56.5973220696885,-0.218913337131006,0.105958828797229,-1.05022429878886,0.988482296185039
