"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",0.00638398125001344,0.0123043981414862,82.2953078564504,0.518837343899727,0.998511824860619,-0.0308059101664768,0.0435738726665037
"SRN - LSTM","train",0.00886487687497898,0.0123043981414863,82.2953078677248,0.72046407902631,0.990966010905754,-0.0283250145413843,0.0460547682913423
"SRN - Attn_AbsPE","train",0.0538564024993102,0.0130505209679906,103.182816973881,4.1267626504264,0.00141786585650139,0.0146094085593608,0.0931033964392596
"SRN - Attn_RoPE","train",0.0524250737493363,0.0130505209679907,103.18281705613,4.0170866648098,0.00209981058688502,0.0131780798100104,0.0916720676886623
"SRN - Attn_AbsPE_H80","train",0.0992818074992676,0.0130505209679906,103.182817042302,7.60749764264424,2.84558931973322e-10,0.0600348135598355,0.1385288014387
"SRN - Attn_RoPE_H80","train",0.0690355243743728,0.013050520967992,103.182814036544,5.2898673197561,1.40882535510922e-05,0.0297885304122685,0.108282518336477
"GRU - LSTM","train",0.00248089562496553,0.0123043981414862,82.2953078201484,0.20162673512659,0.9999940121191,-0.0347089957919313,0.0396707870418623
"GRU - Attn_AbsPE","train",0.0474724212492967,0.0130505209679904,103.182817038019,3.63758821320117,0.0076366416747855,0.00822542730983048,0.086719415188763
"GRU - Attn_RoPE","train",0.0460410924993229,0.0130505209679906,103.182817088862,3.52791222758458,0.0108602489306544,0.00679409856024277,0.085288086438403
"GRU - Attn_AbsPE_H80","train",0.0928978262492541,0.0130505209679904,103.182817085878,7.11832320541906,3.13753234504333e-09,0.0536508323101532,0.132144820188355
"GRU - Attn_RoPE_H80","train",0.0626515431243594,0.0130505209679919,103.182814140989,4.80069288253094,0.000107295883657432,0.0234045491630406,0.101898537085678
"LSTM - Attn_AbsPE","train",0.0449915256243312,0.0130505209679906,103.182817038466,3.44748885770026,0.0139704560398359,0.00574453168486975,0.0842385195637926
"LSTM - Attn_RoPE","train",0.0435601968743573,0.0130505209679907,103.182817104725,3.33781287208368,0.019518289709731,0.00431320293539318,0.0828071908133215
"LSTM - Attn_AbsPE_H80","train",0.0904169306242886,0.0130505209679906,103.182817068045,6.92822384991811,7.87073872743349e-09,0.0511699366850498,0.129663924563527
"LSTM - Attn_RoPE_H80","train",0.0601706474993938,0.013050520967992,103.182814067413,4.61059352703004,0.000228391322317112,0.020923653537524,0.0994176414612637
"Attn_AbsPE - Attn_RoPE","train",-0.00143132874997384,0.0123043981414849,82.2953069172389,-0.116326595865591,0.99999977501011,-0.0386212201770161,0.0357585626770684
"Attn_AbsPE - Attn_AbsPE_H80","train",0.0454254049999574,0.0123043981414848,82.2953069286726,3.69180227083224,0.0070354147296352,0.0082355135730444,0.0826152964268705
"Attn_AbsPE - Attn_RoPE_H80","train",0.0151791218750626,0.0123043981414847,82.2953069187733,1.23363383568398,0.878930246291303,-0.0220107695519605,0.0523690133020858
"Attn_RoPE - Attn_AbsPE_H80","train",0.0468567337499313,0.0123043981414849,82.2953069137086,3.80812886669779,0.00482778538999551,0.0096668423228536,0.0840466251770089
"Attn_RoPE - Attn_RoPE_H80","train",0.0166104506250365,0.0123043981414849,82.2953068882564,1.34996043154956,0.826090528393381,-0.0205794408023301,0.053800342052403
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",-0.0302462831248948,0.0123043981414847,82.2953068770209,-2.45816843514827,0.18850731525521,-0.0674361745523884,0.0069436083025988
"SRN - GRU","test",0.0315074343750266,0.0269361437006982,60.371981289812,1.16970843061733,0.902678755133074,-0.0506455971150985,0.113660465865152
"SRN - LSTM","test",0.00135561937488587,0.0269361437006986,60.3719814861381,0.0503271511300524,0.999999998475424,-0.0807974121061774,0.0835086508559491
"SRN - Attn_AbsPE","test",0.141654384374029,0.0272850457462804,63.5423008215052,5.19164914331652,4.65567629077679e-05,0.0585779612666932,0.224730807481364
"SRN - Attn_RoPE","test",0.00776488999912706,0.0272850457462814,63.5423009092492,0.284584093108413,0.999953044709885,-0.0753115331045094,0.0908413131027635
"SRN - Attn_AbsPE_H80","test",0.162266404373904,0.0272850457462804,63.5423009807,5.94708199805841,2.6006143786228e-06,0.0791899812732744,0.245342827474534
"SRN - Attn_RoPE_H80","test",0.0653579781242073,0.0272850457462816,63.5423011134775,2.39537726020174,0.217631629574434,-0.0177184449708288,0.148434401219243
"GRU - LSTM","test",-0.0301518150001407,0.0269361437006976,60.3719810961927,-1.1193812794873,0.919688993506757,-0.112304846499202,0.0520012164989204
"GRU - Attn_AbsPE","test",0.110146949999002,0.0272850457462793,63.5423004922404,4.03689812446153,0.00269795089820668,0.0270705268777904,0.193223373120214
"GRU - Attn_RoPE","test",-0.0237425443758995,0.0272850457462803,63.5423005355649,-0.870166925746724,0.975706243610359,-0.106818967495285,0.0593338787434864
"GRU - Attn_AbsPE_H80","test",0.130758969998878,0.0272850457462792,63.5423006487765,4.79233097920346,0.00020098833279647,0.0476825468842644,0.213835393113491
"GRU - Attn_RoPE_H80","test",0.0338505437491808,0.0272850457462805,63.5423008385587,1.2406262413467,0.8754144073549,-0.0492258793574424,0.116926966855804
"LSTM - Attn_AbsPE","test",0.140298764999143,0.0272850457462798,63.5423007703236,5.14196554052954,5.60020779171166e-05,0.0572223418896513,0.223375188108634
"LSTM - Attn_RoPE","test",0.0064092706242412,0.0272850457462807,63.54230086538,0.234900490321327,0.999984879738375,-0.0766671524812474,0.0894856937297298
"LSTM - Attn_AbsPE_H80","test",0.160910784999018,0.0272850457462797,63.5423008764249,5.89739839527147,3.15571621556376e-06,0.0778343618939986,0.243987208104038
"LSTM - Attn_RoPE_H80","test",0.0640023587493214,0.027285045746281,63.5423010342616,2.34569365741471,0.239157380962259,-0.0190740643490522,0.147078781847695
"Attn_AbsPE - Attn_RoPE","test",-0.133889494374902,0.0269361437007046,60.371978345443,-4.97062593155824,0.000114491994618326,-0.216042526000975,-0.0517364627488276
"Attn_AbsPE - Attn_AbsPE_H80","test",0.0206120199998756,0.0269361437007037,60.3719784388222,0.7652179253609,0.987378593603645,-0.0615410116218914,0.102765051621643
"Attn_AbsPE - Attn_RoPE_H80","test",-0.0762964062498213,0.0269361437007036,60.3719782800572,-2.83249180348813,0.0854318689077574,-0.158449437878913,0.00585662537927004
"Attn_RoPE - Attn_AbsPE_H80","test",0.154501514374777,0.0269361437007045,60.3719783814739,5.73584385691915,6.73075077850527e-06,0.0723484827503716,0.236654545999183
"Attn_RoPE - Attn_RoPE_H80","test",0.0575930881250803,0.0269361437007045,60.3719783025547,2.13813412807023,0.344376505267236,-0.0245599435029779,0.139746119753138
"Attn_AbsPE_H80 - Attn_RoPE_H80","test",-0.0969084262496968,0.0269361437007034,60.3719782800908,-3.59770972884905,0.010957682073327,-0.179061457878783,-0.0147553946206105
