"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",0.0340096350000158,0.0157861139740482,56.0031846847575,-0.0134678805441079,0.0814871505441395,2.15440196719259,0.355713922792097
"noent - ent","test","SRN",0.0405778162500393,0.0373833738723934,56.0031808464662,-0.0718545225152938,0.153010155015372,1.08545088489204,0.979026061333717
"noent - ent","train","GRU",0.0420914224999844,0.0157861139740482,56.0031846919674,-0.0053860930441393,0.089568938044108,2.66635744358499,0.119682185792095
"noent - ent","test","GRU",0.0549468399999334,0.0373833738723933,56.0031810016295,-0.0574854987653996,0.167379178765266,1.4698202518449,0.843509476618065
"noent - ent","train","LSTM",0.0372717062500322,0.0157861139740482,56.0031847308325,-0.0102058092940915,0.0847492217941559,2.36104378261208,0.237866261509861
"noent - ent","test","LSTM",0.0142247300000886,0.0373833738723934,56.0031810575812,-0.0982076087652445,0.126657068765422,0.380509529413909,0.999999766763856
"noent - ent","train","Attn_AbsPE",0.0116570224999635,0.015786113974049,56.0031839249526,-0.0358204930441625,0.0591345380440895,0.738435217123524,0.99940082781614
"noent - ent","test","Attn_AbsPE",-0.043321302500104,0.0373833738723986,56.0031770259732,-0.155753641265453,0.0691110362652448,-1.15883875671504,0.965494160053339
"noent - ent","train","Attn_RoPE",0.0229745850000103,0.0157861139740489,56.0031840330365,-0.0245029305441156,0.0704521005441362,1.45536672532446,0.851621077146116
"noent - ent","test","Attn_RoPE",0.0147022662500101,0.0373833738723984,56.0031773825417,-0.0977300725153381,0.127134605015358,0.39328355702173,0.999999644300609
"noent - ent","train","Attn_AbsPE_H80",-0.0347473100000077,0.0157861139740489,56.0031839996938,-0.0822248255441336,0.0127302055441181,-2.20113132700863,0.326393310805409
"noent - ent","test","Attn_AbsPE_H80",0.0303327474999895,0.0373833738723983,56.0031772354947,-0.0820995912653583,0.142765086265337,0.811396734910154,0.998436524277188
"noent - ent","train","Attn_RoPE_H80",-0.0231986762500228,0.0157861139740489,56.0031839956108,-0.0706761917941487,0.0242788392941032,-1.46956219169325,0.843651554368035
"noent - ent","test","Attn_RoPE_H80",-0.0700109650000524,0.0373833738723984,56.0031772338397,-0.182443303765401,0.0424213737652959,-1.87278347960306,0.55788266626856
