"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",0.00460028374999236,0.0143549112236341,68.0810012894878,0.32046758620272,0.999906217070619,-0.0390131799459072,0.0482137474458919
"SRN - LSTM","train","noent",0.0044218662499793,0.0143549112236341,68.0810012851256,0.308038564717773,0.999925629461951,-0.0391915974460064,0.048035329945965
"SRN - Attn_AbsPE","train","noent",0.0601556749997353,0.0147774135924231,76.2853315541338,4.07078509534167,0.00210197358825692,0.0154035201555323,0.104907829843938
"SRN - Attn_RoPE","train","noent",0.0584385587497004,0.014777413592423,76.285331558817,3.95458639525824,0.0031083689314898,0.0136864039055739,0.103190713593827
"SRN - Attn_AbsPE_H80","train","noent",0.0850700362497118,0.0147774135924231,76.2853315557765,5.75676086465702,3.48188897947299e-06,0.0403178814055299,0.129822191093894
"SRN - Attn_RoPE_H80","train","noent",0.087238447499712,0.0147774135924226,76.285331143482,5.90349907675626,1.90170488134633e-06,0.0424862926490439,0.13199060235038
"GRU - LSTM","train","noent",-0.00017841750001306,0.0143549112236341,68.0810012774368,-0.0124290214849473,0.999999999999805,-0.0437918811961435,0.0434350461961173
"GRU - Attn_AbsPE","train","noent",0.0555553912497429,0.0147774135924231,76.2853315568251,3.75948002688563,0.00588129043348296,0.0108032364055814,0.100307546093904
"GRU - Attn_RoPE","train","noent",0.053838274999708,0.0147774135924231,76.2853315562419,3.6432813268022,0.00849427464085528,0.00908612015553888,0.0985904298438772
"GRU - Attn_AbsPE_H80","train","noent",0.0804697524997194,0.0147774135924231,76.2853315546622,5.44545579620097,1.23172899744173e-05,0.0357175976555252,0.125221907343914
"GRU - Attn_RoPE_H80","train","noent",0.0826381637497196,0.0147774135924226,76.2853311424394,5.5921940083002,6.81406839719845e-06,0.0378860088990348,0.127390318600404
"LSTM - Attn_AbsPE","train","noent",0.055733808749756,0.0147774135924231,76.2853315541458,3.77155368909298,0.00565785348496439,0.0109816539055526,0.100485963593959
"LSTM - Attn_RoPE","train","noent",0.0540166924997211,0.014777413592423,76.2853315523216,3.65535498900955,0.00817954119857578,0.00926453765549175,0.0987688473439504
"LSTM - Attn_AbsPE_H80","train","noent",0.0806481699997325,0.0147774135924231,76.2853315502987,5.45752945840833,1.17346065529045e-05,0.0358960151554679,0.125400324843997
"LSTM - Attn_RoPE_H80","train","noent",0.0828165812497327,0.0147774135924226,76.2853311468827,5.60426767050756,6.48823982896118e-06,0.0380644263991212,0.127568736100344
"Attn_AbsPE - Attn_RoPE","train","noent",-0.0017171162500349,0.0143549112236352,68.0810017387227,-0.119618730013996,0.999999730275866,-0.0453305799372832,0.0418963474372134
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.0249143612499765,0.0143549112236352,68.0810017296383,1.73559842076594,0.595069738498715,-0.0186991024374466,0.0685278249373996
"Attn_AbsPE - Attn_RoPE_H80","train","noent",0.0270827724999767,0.0143549112236352,68.0810017270583,1.88665552005541,0.496038474846441,-0.0165306911874937,0.0706962361874471
"Attn_RoPE - Attn_AbsPE_H80","train","noent",0.0266314775000114,0.0143549112236352,68.0810017369692,1.85521715077994,0.516481255580775,-0.0169819861872678,0.0702449411872906
"Attn_RoPE - Attn_RoPE_H80","train","noent",0.0287998887500116,0.0143549112236351,68.0810017319625,2.00627425006941,0.42036021858619,-0.0148135749373665,0.0724133524373896
