"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",-0.0805035333333165,0.0368903078207724,79.1606656850843,-2.18224075885824,0.316835948025168,-0.192113898112995,0.031106831446362
"SRN - LSTM","train","noent",-0.0350140666666553,0.0368903078207724,79.1606656843991,-0.949139997333917,0.963064256971034,-0.146624431446359,0.0765962981130483
"SRN - Attn_AbsPE","train","noent",-0.0588925833333092,0.0368903078207724,79.1606656839222,-1.59642428627683,0.684945275671733,-0.17050294811302,0.0527177814464015
"SRN - Attn_RoPE","train","noent",-0.00823648333332878,0.0368903078207724,79.1606656841878,-0.223269574581618,0.999989000252627,-0.119846848113036,0.103373881446379
"SRN - Attn_AbsPE_H80","train","noent",0.0134916499999923,0.0368903078207724,79.1606656844869,0.365723432440306,0.99979940078281,-0.0981187147797063,0.125102014779691
"SRN - Attn_RoPE_H80","train","noent",0.00403375000001105,0.0368903078207724,79.1606657015675,0.109344438642491,0.999999844211586,-0.107576614779061,0.115644114779083
"GRU - LSTM","train","noent",0.0454894666666612,0.0368903078207724,79.1606656844582,1.23310076152432,0.879062221815943,-0.0661208981130351,0.157099831446357
"GRU - Attn_AbsPE","train","noent",0.0216109500000073,0.0368903078207724,79.1606656838005,0.585816472581411,0.997059522509461,-0.0899994147797141,0.133221314779729
"GRU - Attn_RoPE","train","noent",0.0722670499999878,0.0368903078207724,79.1606656842465,1.95897118427662,0.44863309763626,-0.0393433147797213,0.183877414779697
"GRU - Attn_AbsPE_H80","train","noent",0.0939951833333089,0.0368903078207724,79.1606656845327,2.54796419129855,0.156711166620467,-0.0176151814463759,0.205605548112994
"GRU - Attn_RoPE_H80","train","noent",0.0845372833333276,0.0368903078207724,79.1606657015656,2.29158519750073,0.261077250957105,-0.0270730814457433,0.196147648112398
"LSTM - Attn_AbsPE","train","noent",-0.0238785166666539,0.0368903078207724,79.1606656830538,-0.647284288942913,0.99491346111063,-0.135488881446391,0.0877318481130834
"LSTM - Attn_RoPE","train","noent",0.0267775833333266,0.0368903078207724,79.1606656836039,0.7258704227523,0.990582223555571,-0.0848327814464044,0.138387948113058
"LSTM - Attn_AbsPE_H80","train","noent",0.0485057166666477,0.0368903078207724,79.1606656837376,1.31486342977422,0.843032431303499,-0.0631046481130742,0.16011608144637
"LSTM - Attn_RoPE_H80","train","noent",0.0390478166666664,0.0368903078207724,79.1606657016784,1.05848443597641,0.938144442329708,-0.0725625481123977,0.15065818144573
"Attn_AbsPE - Attn_RoPE","train","noent",0.0506560999999804,0.0368903078207724,79.1606656830645,1.37315471169521,0.814279418584445,-0.060954264779757,0.162266464779718
"Attn_AbsPE - Attn_AbsPE_H80","train","noent",0.0723842333333015,0.0368903078207724,79.1606656834005,1.96214771871714,0.446623123190529,-0.0392261314464287,0.183994598113032
"Attn_AbsPE - Attn_RoPE_H80","train","noent",0.0629263333333202,0.0368903078207724,79.1606657002466,1.70576872491932,0.61429088626066,-0.048684031445802,0.174536698112442
"Attn_RoPE - Attn_AbsPE_H80","train","noent",0.0217281333333211,0.0368903078207724,79.1606656836448,0.588993007021923,0.996970139049746,-0.0898822314463977,0.13333849811304
"Attn_RoPE - Attn_RoPE_H80","train","noent",0.0122702333333398,0.0368903078207724,79.1606657008621,0.332614013224109,0.999884674802223,-0.0993401314457596,0.123880598112439
"Attn_AbsPE_H80 - Attn_RoPE_H80","train","noent",-0.0094578999999813,0.0368903078207724,79.1606657005426,-0.256378993797815,0.999975056634831,-0.121068264779091,0.102152464779128
"SRN - GRU","test","noent",-0.0805132833333169,0.0368903078207724,79.1606656833654,-2.18250505592098,0.316693460338898,-0.192123648113053,0.0310970814464188
"SRN - LSTM","test","noent",-0.0350276166666554,0.0368903078207724,79.1606656826803,-0.949507302482626,0.962994870509411,-0.146637981446414,0.0765827481131031
"SRN - Attn_AbsPE","test","noent",-0.058875566666642,0.0368903078207724,79.1606656822034,-1.59596300883914,0.68523651114705,-0.170485931446415,0.052734798113131
"SRN - Attn_RoPE","test","noent",-0.00826953333332912,0.0368903078207724,79.160665682469,-0.224165473855782,0.999988735862977,-0.119879898113107,0.103340831446449
"SRN - Attn_AbsPE_H80","test","noent",0.0137615666666588,0.0368903078207724,79.1606656827681,0.373040169074161,0.999774917115681,-0.0978487981130903,0.125371931446408
"SRN - Attn_RoPE_H80","test","noent",0.00143453333334453,0.0368903078207724,79.1606656996935,0.0388864560391866,0.999999999682562,-0.110175831445793,0.113044898112482
"GRU - LSTM","test","noent",0.0454856666666616,0.0368903078207724,79.1606656827393,1.23299775343835,0.879104308306445,-0.0661246981131004,0.157096031446424
