"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",-0.0225518666666727,0.0178844171636539,75.5492867207084,-1.26097856364614,0.867255124178675,-0.0767274819106002,0.0316237485772548
"SRN - LSTM","train",0.00242879999999319,0.0178844171636539,75.5492867201324,0.135805376142152,0.999999428782939,-0.0517468152439422,0.0566044152439286
"SRN - Attn_AbsPE","train",-0.0122188416666675,0.0178844171636539,75.5492867208454,-0.683211622434058,0.993169245596127,-0.0663944569105884,0.0419567735772534
"SRN - Attn_RoPE","train",0.00507816666666025,0.0178844171636539,75.5492867204477,0.28394364883081,0.999954287189395,-0.0490974485772686,0.0592537819105891
"SRN - Attn_AbsPE_H80","train",-0.00071040833334116,0.0178844171636539,75.5492867190537,-0.0397221965267566,0.999999999638121,-0.0548860235773064,0.0534652069106241
"SRN - Attn_RoPE_H80","train",0.0265876083333302,0.0178844171636539,75.5492867291979,1.48663543743341,0.751783951527641,-0.0275880069104303,0.0807632235770908
"GRU - LSTM","train",0.0249806666666659,0.0178844171636539,75.5492867225857,1.39678393978829,0.801859279726,-0.0291949485772247,0.0791562819105564
"GRU - Attn_AbsPE","train",0.0103330250000052,0.0178844171636539,75.5492867236951,0.577766941212082,0.997269219152138,-0.043842590243863,0.0645086402438733
"GRU - Attn_RoPE","train",0.0276300333333329,0.0178844171636539,75.549286723002,1.54492221247695,0.716955650968542,-0.0265455819105516,0.0818056485772174
"GRU - Attn_AbsPE_H80","train",0.0218414583333315,0.0178844171636539,75.5492867218838,1.22125636711938,0.883738662646672,-0.0323341569105693,0.0760170735772323
"GRU - Attn_RoPE_H80","train",0.0491394750000029,0.0178844171636539,75.5492867319337,2.74761400107955,0.100649146773119,-0.0050361402437047,0.103315090243711
"LSTM - Attn_AbsPE","train",-0.0146476416666607,0.0178844171636539,75.54928672224,-0.819016998576211,0.982277685316877,-0.0688232569105604,0.039527973577239
"LSTM - Attn_RoPE","train",0.00264936666666707,0.0178844171636539,75.5492867216077,0.148138272688657,0.999999040047658,-0.0515262485772393,0.0568249819105735
"LSTM - Attn_AbsPE_H80","train",-0.00313920833333435,0.0178844171636539,75.5492867205727,-0.175527572668909,0.999997359701947,-0.057314823577267,0.0510364069105983
"LSTM - Attn_RoPE_H80","train",0.0241588083333371,0.0178844171636539,75.5492867297463,1.35083006129126,0.825481737280312,-0.0300168069104178,0.0783344235770919
"Attn_AbsPE - Attn_RoPE","train",0.0172970083333278,0.0178844171636539,75.549286722868,0.967155271264868,0.959483968413522,-0.0368786069105596,0.0714726235772151
"Attn_AbsPE - Attn_AbsPE_H80","train",0.0115084333333264,0.0178844171636539,75.5492867218975,0.643489425907302,0.995060967043611,-0.0426671819105814,0.0656840485772341
"Attn_AbsPE - Attn_RoPE_H80","train",0.0388064499999978,0.0178844171636539,75.5492867313325,2.16984705986747,0.324088495383809,-0.0153691652437178,0.0929820652437134
"Attn_RoPE - Attn_AbsPE_H80","train",-0.00578857500000141,0.0178844171636539,75.5492867214344,-0.323665845357566,0.999901368882375,-0.0599641902439148,0.048387040243912
"Attn_RoPE - Attn_RoPE_H80","train",0.02150944166667,0.0178844171636539,75.5492867308754,1.2026917886026,0.891010976033614,-0.0326661735770613,0.0756850569104013
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",0.0272980166666714,0.0178844171636539,75.5492867299587,1.52635763396017,0.728223179736504,-0.0268775985770754,0.0814736319104182
"SRN - GRU","test",-0.0225543416666725,0.0178844171636539,75.5492867222582,-1.26111695227671,0.867195519427703,-0.0767299569105704,0.0316212735772255
"SRN - LSTM","test",0.00243429999999316,0.0178844171636539,75.5492867216822,0.136112906432328,0.999999421011309,-0.0517413152439183,0.0566099152439047
"SRN - Attn_AbsPE","test",-0.0122106333333341,0.0178844171636539,75.5492867223952,-0.682752656773714,0.993193894885902,-0.0663862485772311,0.0419649819105628
