"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",0.0139154696874778,0.00792619504328401,153.260165002758,1.75563048997496,0.579915390313579,-0.00976718974691637,0.037598129121872
"SRN - LSTM","train",0.0101044449999474,0.00792619504328394,153.260164720294,1.27481659797271,0.862427502361464,-0.0135782144350295,0.0337871044349243
"SRN - Attn_AbsPE","train",0.0611114393746276,0.00833293579079603,185.198522127156,7.33372258095724,1.41961775668165e-10,0.0362706952653939,0.0859521834838613
"SRN - Attn_RoPE","train",0.0579510659371592,0.00833293579079605,185.198521947445,6.95445967568449,1.23471999291525e-09,0.0331103218276618,0.0827918100466565
"SRN - Attn_AbsPE_H80","train",0.096764324999618,0.00833293579079609,185.198522137473,11.6122729646491,0,0.0719235808904035,0.121605069108833
"SRN - Attn_RoPE_H80","train",0.0739494253121566,0.00833293579079666,185.198521241534,8.87435438946143,7.66053886991358e-15,0.0491086812016129,0.0987901694227002
"GRU - LSTM","train",-0.0038110246875304,0.00792619504328401,153.260164955717,-0.48081389200226,0.999059580030887,-0.0274936841220268,0.019871634746966
"GRU - Attn_AbsPE","train",0.0471959696871498,0.00833293579079606,185.198522321311,5.66378655398725,1.15845428272365e-06,0.0223552255782088,0.0720367137960908
"GRU - Attn_RoPE","train",0.0440355962496813,0.00833293579079607,185.198522121889,5.2845236487145,7.25899494358195e-06,0.0191948521404405,0.0688763403589222
"GRU - Attn_AbsPE_H80","train",0.0828488553121402,0.00833293579079611,185.198522316963,9.94233693767908,0,0.0580081112031949,0.107689599421086
"GRU - Attn_RoPE_H80","train",0.0600339556246788,0.00833293579079669,185.198521399226,7.20441836249155,2.98844726742686e-10,0.0351932115143676,0.0848746997349899
"LSTM - Attn_AbsPE","train",0.0510069943746802,0.00833293579079602,185.198522181149,6.12113133417144,1.13225244291471e-07,0.0261662502655296,0.0758477384838307
"LSTM - Attn_RoPE","train",0.0478466209372118,0.00833293579079604,185.198522019838,5.74186842889869,7.85442439199535e-07,0.023005876827818,0.0726873650466055
"LSTM - Attn_AbsPE_H80","train",0.0866598799996706,0.00833293579079608,185.198522278584,10.3996817178633,0,0.0618191358906635,0.111500624108678
"LSTM - Attn_RoPE_H80","train",0.0638449803122092,0.00833293579079666,185.198521345453,7.66176314267572,2.08374428822822e-11,0.0390042362018184,0.0886857244226
"Attn_AbsPE - Attn_RoPE","train",-0.00316037343746843,0.00792619504328388,153.260165551887,-0.398725166389429,0.999679279338957,-0.0268430328707348,0.0205222859957979
"Attn_AbsPE - Attn_AbsPE_H80","train",0.0356528856249904,0.00792619504328385,153.260165558606,4.49810854139912,0.000267633443732262,0.0119702261917397,0.0593355450582411
"Attn_AbsPE - Attn_RoPE_H80","train",0.012837985937529,0.00792619504328385,153.260165500711,1.61969089423393,0.66986941972532,-0.0108446734958398,0.0365206453708977
"Attn_RoPE - Attn_AbsPE_H80","train",0.0388132590624589,0.00792619504328389,153.260165658322,4.89683370778852,4.97191608820335e-05,0.0151305996294162,0.0624959184955016
"Attn_RoPE - Attn_RoPE_H80","train",0.0159983593749974,0.00792619504328388,153.260165567229,2.01841606062335,0.407409802253977,-0.0076843000582378,0.0396810188082326
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",-0.0228148996874615,0.00792619504328387,153.260165511479,-2.87841764716518,0.0670976930922849,-0.0464975591208119,0.000867759745888999
"SRN - GRU","test",0.031740111562317,0.0215605182563353,128.460451007488,1.47214047384925,0.760722622568557,-0.0328466669602141,0.0963268900848481
"SRN - LSTM","test",0.0083655362497326,0.0215605182563348,128.460451921566,0.388002558671088,0.999724318347371,-0.0562212422654766,0.0729523147649418
"SRN - Attn_AbsPE","test",0.149069556561623,0.0217133414865397,132.119310244299,6.86534390176808,4.89816676108035e-09,0.0840536515586488,0.214085461564598
"SRN - Attn_RoPE","test",0.00533984156170954,0.0217133414865399,132.119310676424,0.245924449952566,0.999981042570873,-0.0596760634379821,0.0703557465614012
"SRN - Attn_AbsPE_H80","test",0.171166269686598,0.02171334148654,132.119310899141,7.88299994234895,2.21038742864721e-11,0.106150364688613,0.236182174684584
