"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train","noent",0.00347168562498706,0.0109238603378806,138.599674199656,0.317807580617662,0.999914224515491,-0.0292137876900116,0.0361571589399858
"SRN - LSTM","train","noent",0.00582785374993444,0.0109238603378805,138.599674101947,0.533497643660389,0.998299750254046,-0.0268576195654021,0.038513327065271
"SRN - Attn_AbsPE","train","noent",0.0625941918746406,0.0112224763626783,153.95746765724,5.57757395531747,2.21490261598234e-06,0.0290646074308718,0.0961237763184094
"SRN - Attn_RoPE","train","noent",0.0581905787496449,0.0112224763626784,153.957467622599,5.18518167194937,1.37372750994569e-05,0.0246609943057779,0.0917201631935119
"SRN - Attn_AbsPE_H80","train","noent",0.109365158124629,0.0112224763626784,153.95746767185,9.74518943861047,1.49324996812084e-13,0.0758355736809036,0.142894742568355
"SRN - Attn_RoPE_H80","train","noent",0.0924390637496694,0.0112224763626788,153.957467248281,8.2369577589027,1.64557256709941e-12,0.0589094793047157,0.125968648194623
"GRU - LSTM","train","noent",0.00235616812494738,0.0109238603378806,138.599674159822,0.215690063042724,0.9999913077304,-0.0303293051901844,0.0350416414400792
"GRU - Attn_AbsPE","train","noent",0.0591225062496536,0.0112224763626784,153.957467685611,5.26822283593951,9.4058032817923e-06,0.0255929218059685,0.0926520906933387
"GRU - Attn_RoPE","train","noent",0.0547188931246578,0.0112224763626784,153.957467666095,4.87583055257142,5.42744574364429e-05,0.0211893086809167,0.0882484775683989
"GRU - Attn_AbsPE_H80","train","noent",0.105893472499642,0.0112224763626784,153.957467687412,9.43583831923251,1.47659662275146e-13,0.0723638880559608,0.139423056943323
"GRU - Attn_RoPE_H80","train","noent",0.0889673781246823,0.0112224763626788,153.95746733592,7.92760663952474,9.0081275772036e-12,0.0554377936799826,0.122496962569382
"LSTM - Attn_AbsPE","train","noent",0.0567663381247062,0.0112224763626783,153.957467638241,5.05827201503309,2.43120883204329e-05,0.0232367536808872,0.0902959225685252
"LSTM - Attn_RoPE","train","noent",0.0523627249997104,0.0112224763626783,153.957467621953,4.665879731665,0.000133143985376338,0.0188331405558416,0.0858923094435793
"LSTM - Attn_AbsPE_H80","train","noent",0.103537304374695,0.0112224763626784,153.957467716353,9.2258874983261,1.50102152929321e-13,0.0700077199310973,0.137066888818292
"LSTM - Attn_RoPE_H80","train","noent",0.0866112099997349,0.0112224763626788,153.957467321947,7.71765581861834,2.93737256740201e-11,0.0530816255549961,0.120140794444474
