"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",0.0255075412500081,0.0106307249816125,124.416805385851,-0.00591784937606354,0.0569329318760797,2.39941690657291,0.215973035013137
"noent - ent","test","SRN",0.0365331062500288,0.0302832473963727,124.998969617739,-0.052973185592066,0.126039398092124,1.20638007449639,0.967209424079347
"noent - ent","train","GRU",0.0463951093749896,0.0106307249816125,124.416805219319,0.0149692952167639,0.0778209235332153,4.36424697800358,0.00037200187265396
"noent - ent","test","GRU",0.0522210218749218,0.0302832473963727,124.998968821065,-0.0372851960235975,0.141727239773441,1.72441948485276,0.698079611607923
"noent - ent","train","LSTM",0.034060723750034,0.0106307249816125,124.416805259413,0.00263558829915429,0.0654858592009137,3.20398879746652,0.0235407631519415
"noent - ent","test","LSTM",0.0271880250001662,0.0302832473963731,124.998971214803,-0.0623175557234558,0.116693605723788,0.897790935176336,0.997765558804318
"noent - ent","train","Attn_AbsPE",0.022542036249982,0.0106307249816134,124.416806931454,-0.00888356825717313,0.0539676407571371,2.12046086122726,0.385886543916119
"noent - ent","test","Attn_AbsPE",-0.0714431781251031,0.0302832473963693,124.998934188751,-0.160949728939571,0.0180633726893648,-2.35916502579801,0.236451462034535
"noent - ent","train","Attn_RoPE",0.0250285156250366,0.0106307249816134,124.416807139117,-0.00639692702601796,0.0564539582760913,2.35435642144119,0.239085561390771
"noent - ent","test","Attn_RoPE",0.0215278768751731,0.0302832473963691,124.99892683906,-0.0679776432970993,0.111033397047446,0.710884027508695,0.999821598565212
"noent - ent","train","Attn_AbsPE_H80",0.000305874999985908,0.0106307249816134,124.416807011821,-0.0311194574005998,0.0317312074005716,0.02877273191762,1
"noent - ent","test","Attn_AbsPE_H80",0.0239381443749425,0.0302832473963693,124.998928901468,-0.0655680929171288,0.113444381667014,0.790474814725863,0.999416020436456
"noent - ent","train","Attn_RoPE_H80",-0.0114717356250175,0.0106307249816134,124.416807022486,-0.0428972520492119,0.0199537807991769,-1.07911131600702,0.987109284520951
"noent - ent","test","Attn_RoPE_H80",-0.0951389143750868,0.0302832473963692,124.998928502834,-0.184646050468807,-0.00563177828136634,-3.14163514664855,0.0285578067140499
