"contrast","train_or_test","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","train",-0.0283570958333235,0.0155885078767458,179.205086422268,-1.81910264006892,0.536980353326849,-0.0748440884365673,0.0181298967699202
"SRN - LSTM","train",-0.00209167499997944,0.0155885078767458,179.205086419992,-0.134180578187326,0.999999491309903,-0.0485786676032349,0.0443953176032761
"SRN - Attn_AbsPE","train",-0.0243958083333416,0.0155885078767458,179.205086415586,-1.56498675346176,0.704730057731563,-0.0708828009366024,0.0220911842699193
"SRN - Attn_RoPE","train",0.00628336666667743,0.0155885078767458,179.205086419214,0.403076850995511,0.999660180115176,-0.0402036259365879,0.0527703592699427
"SRN - Attn_AbsPE_H80","train",0.0129534125000025,0.0155885078767458,179.205086417835,0.830959101565187,0.981421359009078,-0.0335335801032575,0.0594404051032626
"SRN - Attn_RoPE_H80","train",0.0195293958333396,0.0155885078767458,179.20508640142,1.25280725953718,0.872136155051896,-0.0269575967699748,0.0660163884366541
"GRU - LSTM","train",0.0262654208333441,0.0155885078767458,179.205086426215,1.6849220618816,0.626994223895617,-0.0202215717698965,0.0727524134365846
"GRU - Attn_AbsPE","train",0.00396128749998196,0.0155885078767458,179.205086422516,0.25411588660716,0.999977243167534,-0.0425257051032627,0.0504482801032266
"GRU - Attn_RoPE","train",0.034640462500001,0.0155885078767458,179.205086427366,2.22217949106444,0.288953953959617,-0.0118465301032311,0.081127455103233
"GRU - Attn_AbsPE_H80","train",0.0413105083333261,0.0155885078767458,179.205086427578,2.65006174163411,0.117530546660586,-0.00517648426990874,0.0877975009365609
"GRU - Attn_RoPE_H80","train",0.0478864916666632,0.0155885078767458,179.205086409249,3.0719098996061,0.0388319320705843,0.00139949906338158,0.0943734842699448
"LSTM - Attn_AbsPE","train",-0.0223041333333621,0.0155885078767458,179.205086420931,-1.43080617527444,0.784453729411997,-0.0687911259366089,0.0241828592698847
"LSTM - Attn_RoPE","train",0.00837504166665687,0.0155885078767458,179.205086425823,0.537257429182838,0.998245142203396,-0.0381119509365833,0.054862034269897
"LSTM - Attn_AbsPE_H80","train",0.015045087499982,0.0155885078767458,179.205086425662,0.965139679752513,0.960752137453312,-0.0314419051032627,0.0615320801032266
"LSTM - Attn_RoPE_H80","train",0.0216210708333191,0.0155885078767458,179.205086410692,1.3869878377245,0.808174838256105,-0.0248659217699681,0.0681080634366062
"Attn_AbsPE - Attn_RoPE","train",0.030679175000019,0.0155885078767458,179.205086421281,1.96806360445728,0.438660250002523,-0.0158078176032305,0.0771661676032685
"Attn_AbsPE - Attn_AbsPE_H80","train",0.0373492208333441,0.0155885078767458,179.205086420599,2.39594585502695,0.206389860139888,-0.00913777176990625,0.0838362134365945
"Attn_AbsPE - Attn_RoPE_H80","train",0.0439252041666812,0.0155885078767458,179.205086402917,2.81779401299894,0.0775697628411706,-0.00256178843663044,0.0904121967699928
"Attn_RoPE - Attn_AbsPE_H80","train",0.00667004583332511,0.0155885078767458,179.205086423928,0.427882250569675,0.99952026761247,-0.0398169467699184,0.0531570384365686
"Attn_RoPE - Attn_RoPE_H80","train",0.0132460291666622,0.0155885078767458,179.205086405334,0.849730408541666,0.979173853605453,-0.0332409634366344,0.0597330217699588
"Attn_AbsPE_H80 - Attn_RoPE_H80","train",0.0065759833333371,0.0155885078767458,179.205086405109,0.421848157971991,0.999557972578322,-0.0399110092699586,0.0530629759366327
"SRN - GRU","test",-0.0283599208333235,0.0155885078767458,179.205086422268,-1.81928386331507,0.536858613756473,-0.0748469134365687,0.0181270717699218
"SRN - LSTM","test",-0.00208481666664614,0.0155885078767458,179.205086419992,-0.133740617327215,0.999999501196796,-0.0485718092699025,0.0444021759366102
"SRN - Attn_AbsPE","test",-0.0243900041666748,0.0155885078767458,179.205086415586,-1.5646144172053,0.704963686906573,-0.0708769967699559,0.0220969884366063
"SRN - Attn_RoPE","test",0.00627423333334406,0.0155885078767458,179.205086419214,0.402490949291155,0.999663028755361,-0.0402127592699033,0.0527612259365915
"SRN - Attn_AbsPE_H80","test",0.0106590875000026,0.0155885078767458,179.205086417835,0.683778562020247,0.993354698431274,-0.035827905103252,0.0571460801032571
"SRN - Attn_RoPE_H80","test",0.0154480833333397,0.0155885078767458,179.20508640142,0.990991790585959,0.955418047389927,-0.0310389092699691,0.0619350759366485
"GRU - LSTM","test",0.0262751041666773,0.0155885078767458,179.205086426215,1.68554324598785,0.626581650459331,-0.0202118884365596,0.0727620967699143
"GRU - Attn_AbsPE","test",0.00396991666664866,0.0155885078767458,179.205086422516,0.254669446109771,0.999976948397821,-0.0425170759365965,0.0504569092698938
"GRU - Attn_RoPE","test",0.0346341541666675,0.0155885078767458,179.205086427366,2.22177481260622,0.289166725074077,-0.011852838436571,0.0811211467699061
"GRU - Attn_AbsPE_H80","test",0.039019008333326,0.0155885078767458,179.205086427578,2.50306242533531,0.16442531467255,-0.00746798426990925,0.0855060009365613
"GRU - Attn_RoPE_H80","test",0.0438080041666632,0.0155885078767458,179.205086409249,2.81027565390102,0.0790848639654551,-0.00267898843661952,0.0902949967699458
"LSTM - Attn_AbsPE","test",-0.0223051875000287,0.0155885078767458,179.205086420931,-1.43087379987808,0.784416141809546,-0.0687921801032766,0.0241818051032192
"LSTM - Attn_RoPE","test",0.0083590499999902,0.0155885078767458,179.205086425823,0.536231566618369,0.998263909628562,-0.0381279426032517,0.0548460426032321
"LSTM - Attn_AbsPE_H80","test",0.0127439041666487,0.0155885078767458,179.205086425662,0.817519179347462,0.982916143350273,-0.0337430884365902,0.0592308967698876
