"contrast","train_or_test","arch","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"noent - ent","train","SRN",-0.0729883666666494,0.0210249988763746,154.933411006158,-0.133896291117984,-0.0120804422153152,-3.4715039508832,0.00827323944526137
"noent - ent","test","SRN",-0.0729977833333163,0.0210249988763746,154.933411006158,-0.13390570778465,-0.0120898588819821,-3.47195183041567,0.00826232342022237
"noent - ent","train","GRU",0.00725194166667388,0.0210249988763746,154.933411005464,-0.0536559827846603,0.0681598661180081,0.344919955017108,0.999999712236974
"noent - ent","test","GRU",0.00724932500000733,0.0210249988763746,154.933411005464,-0.0536585994513269,0.0681572494513415,0.344795499996589,0.999999713480456
"noent - ent","train","LSTM",-0.0274577166666602,0.0210249988763746,154.933411007985,-0.0883656411179944,0.033450207784674,-1.30595567819572,0.894505477370223
"noent - ent","test","LSTM",-0.0274466499999935,0.0210249988763746,154.933411007985,-0.0883545744513277,0.0334612744513407,-1.3054293206567,0.894739102549871
"noent - ent","train","Attn_AbsPE",-0.0192168500000051,0.0210249988763746,154.933411002236,-0.0801247744513393,0.0416910744513291,-0.914000048846551,0.990972339960568
"noent - ent","test","Attn_AbsPE",-0.0192374083333387,0.0210249988763746,154.933411002236,-0.0801453327846729,0.0416705161179955,-0.914977853100167,0.9908936358057
"noent - ent","train","Attn_RoPE",-0.0297093833333292,0.0210249988763746,154.933411006339,-0.0906173077846634,0.0311985411180049,-1.41305041241705,0.839084031393181
"noent - ent","test","Attn_RoPE",-0.0295747499999958,0.0210249988763746,154.933411006339,-0.0904826744513299,0.0313331744513384,-1.40664692416361,0.84275068986814
"noent - ent","train","Attn_AbsPE_H80",-0.0361089583333466,0.0210249988763746,154.933411006123,-0.0970168827846808,0.0247989661179876,-1.71742973902945,0.626414915660997
"noent - ent","test","Attn_AbsPE_H80",-0.0378182416666796,0.0210249988763746,154.933411006123,-0.0987261661180138,0.0230896827846546,-1.79872740488825,0.563065209281802
"noent - ent","train","Attn_RoPE_H80",-0.0656338416666577,0.0210249988763747,154.933410949503,-0.126541766117992,-0.00472591721532341,-3.12170488343802,0.0256046806994178
"noent - ent","test","Attn_RoPE_H80",-0.0577824833333243,0.0210249988763747,154.933410949503,-0.118690407784659,0.00312544111800994,-2.74827521623572,0.0757608102356139
