"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","noent",-0.00359111585962736,0.0060416732066435,124.55853298843,-0.594390947143339,0.996879156963259,-0.0216986060576058,0.0145163743383511
"SRN - LSTM","noent",-0.00166031195325851,0.00604167320664354,124.558533115128,-0.274809956856456,0.999963364040017,-0.0197678021509362,0.0164471782444191
"SRN - Attn_AbsPE","noent",0.0341652065000685,0.00637470460272548,152.885218183888,5.35949642050257,6.22277802131421e-06,0.0151176184545479,0.0532127945455891
"SRN - Attn_RoPE","noent",0.0340136312801328,0.00637470460272552,152.88521824833,5.33571881363572,6.94648925170238e-06,0.0149660432347218,0.0530612193255438
"SRN - Attn_AbsPE_H80","noent",0.0678452052410915,0.00637470460272549,152.885218079589,10.6428782930717,6.63913368725844e-14,0.0487976171953961,0.086892793286787
"SRN - Attn_RoPE_H80","noent",0.0792478405135279,0.00637470460272544,152.885216813053,12.4316098474032,1.64313007644523e-14,0.0602002524657215,0.0982954285613342
"GRU - LSTM","noent",0.00193080390636885,0.00604167320664353,124.558533860675,0.31958099028688,0.99991098415259,-0.016176686289527,0.0200382941022647
"GRU - Attn_AbsPE","noent",0.0377563223596958,0.0063747046027255,152.88521829589,5.92283481552277,4.19389130201786e-07,0.0187087343143612,0.0568039104050304
"GRU - Attn_RoPE","noent",0.0376047471397601,0.00637470460272553,152.885218355039,5.89905720865592,4.71535313129046e-07,0.0185571590945234,0.0566523351849968
"GRU - Attn_AbsPE_H80","noent",0.0714363211007189,0.00637470460272551,152.885218201603,11.2062166880919,4.46309655899313e-14,0.0523887330552284,0.0904839091462094
"GRU - Attn_RoPE_H80","noent",0.0828389563731552,0.00637470460272545,152.885216903247,12.9949482424234,1.4210854715202e-14,0.0637913683254999,0.101886544420811
"LSTM - Attn_AbsPE","noent",0.035825518453327,0.0063747046027255,152.885218483104,5.61994957978285,1.82632066614286e-06,0.0167779304083043,0.0548731064983496
"LSTM - Attn_RoPE","noent",0.0356739432333913,0.00637470460272553,152.885218542686,5.596171972916,2.0457551631603e-06,0.0166263551884682,0.0547215312783144
"LSTM - Attn_AbsPE_H80","noent",0.0695055171943501,0.00637470460272551,152.885218393229,10.903331452352,5.7065463465733e-14,0.050457929149178,0.0885531052395221
"LSTM - Attn_RoPE_H80","noent",0.0809081524667864,0.00637470460272545,152.885217087191,12.6920630066834,1.48769885299771e-14,0.0618605644194373,0.0999557405141355
"Attn_AbsPE - Attn_RoPE","noent",-0.000151575219935719,0.0060416732066435,124.558537824901,-0.0250882851076827,0.999999999977715,-0.0182590654063681,0.0179559149664966
"Attn_AbsPE - Attn_AbsPE_H80","noent",0.0336799987410231,0.0060416732066435,124.558537922311,5.57461444687014,3.02497474236052e-06,0.0155725085548223,0.0517874889272238
"Attn_AbsPE - Attn_RoPE_H80","noent",0.0450826340134594,0.00604167320664349,124.558537940399,7.46194513862253,2.68038702344597e-10,0.0269751438272996,0.0631901241996192
"Attn_RoPE - Attn_AbsPE_H80","noent",0.0338315739609588,0.00604167320664352,124.558537722712,5.5997027319778,2.69656944662522e-06,0.0157240837742811,0.0519390641476365
"Attn_RoPE - Attn_RoPE_H80","noent",0.0452342092333951,0.00604167320664351,124.558537676084,7.48703342373019,2.34990138459068e-10,0.027126719046603,0.0633416994201872
"Attn_AbsPE_H80 - Attn_RoPE_H80","noent",0.0114026352724363,0.00604167320664349,124.558537898525,1.88733069175239,0.492554216032155,-0.00670485491382118,0.0295101254586938
"SRN - GRU","ent",0.000219377858137717,0.00604167320664291,124.558539134028,0.0363107785930076,0.999999999795108,-0.0178881123251706,0.0183268680414461
"SRN - LSTM","ent",0.000370628493835231,0.00604167320664294,124.558539160483,0.0613453394711447,0.999999995243013,-0.0177368616894068,0.0184781186770773
"SRN - Attn_AbsPE","ent",0.0365715939636905,0.00637470460272468,152.885216897705,5.73698645550714,1.04021995506187e-06,0.0175240059160301,0.055619182011351
