"contrast","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU",-0.00168586900074482,0.00427210809413038,124.558537579403,-0.394622271627702,0.999695524623461,-0.0144897981022544,0.0111180601007647
"SRN - LSTM",-0.000644841729711642,0.00427210809413042,124.558537661606,-0.15094227849656,0.99999895780482,-0.0134487708310829,0.0121590873716596
"SRN - Attn_AbsPE",0.0353684002318795,0.00473137941873909,180.389121201704,7.47528302038081,6.76882994099515e-11,0.0212598574277204,0.0494769430360386
"SRN - Attn_RoPE",0.0321048196689752,0.00473137941873909,180.389120570348,6.78550943131317,3.36333116912613e-09,0.0179962768642569,0.0462133624736934
"SRN - Attn_AbsPE_H80",0.0679721810068264,0.00473137941873909,180.389121486913,14.3662503027375,0,0.0538636382029202,0.0820807238107326
"SRN - Attn_RoPE_H80",0.0659957757621841,0.0047313794187392,180.389115625198,13.9485274634285,0,0.0518872329530822,0.080104318571286
"GRU - LSTM",0.00104102727103318,0.00427210809413041,124.558538034206,0.243679993131139,0.999981997643272,-0.0117629018297094,0.0138449563717757
"GRU - Attn_AbsPE",0.0370542692326243,0.00473137941873911,180.389120357301,7.83159961466356,8.39772695826468e-12,0.0229457264277182,0.0511628120375304
"GRU - Attn_RoPE",0.03379068866972,0.00473137941873912,180.389119701939,7.14182602559593,4.58434623595849e-10,0.0196821458642316,0.0478992314752083
"GRU - Attn_AbsPE_H80",0.0696580500075712,0.00473137941873911,180.389120668124,14.7225668970202,0,0.0555495072029397,0.0837665928122028
"GRU - Attn_RoPE_H80",0.0676816447629289,0.00473137941873922,180.38911464463,14.3048440577112,8.12683254025615e-14,0.0535731019529586,0.0817901875728993
"LSTM - Attn_AbsPE",0.0360132419615911,0.00473137941873911,180.389120211545,7.61157344916305,3.06064062982614e-11,0.0219046991565554,0.0501217847666269
"LSTM - Attn_RoPE",0.0327496613986868,0.00473137941873912,180.389119509701,6.92179986009542,1.57967794400804e-09,0.0186411185930284,0.0468582042043451
"LSTM - Attn_AbsPE_H80",0.0686170227365381,0.00473137941873911,180.389120520226,14.5025407315197,0,0.0545084799317756,0.0827255655413005
"LSTM - Attn_RoPE_H80",0.0666406174918957,0.00473137941873923,180.389114345062,14.0848178922107,8.12683254025615e-14,0.0525320746816573,0.0807491603021342
"Attn_AbsPE - Attn_RoPE",-0.00326358056290435,0.0042721080941307,124.55853909056,-0.763927431374706,0.987885510734328,-0.0160675096618639,0.00954034853605515
"Attn_AbsPE - Attn_AbsPE_H80",0.0326037807749469,0.00427210809413069,124.558539069473,7.63177804881393,1.09652953383943e-10,0.0197998516759533,0.0454077098739405
"Attn_AbsPE - Attn_RoPE_H80",0.0306273755303046,0.0042721080941307,124.55853912728,7.16914807759254,1.23046883793165e-09,0.0178234464314081,0.0434313046292011
"Attn_RoPE - Attn_AbsPE_H80",0.0358673613378513,0.0042721080941307,124.5585390362,8.39570548018863,1.84274817627283e-12,0.0230634322387985,0.0486712904369041
"Attn_RoPE - Attn_RoPE_H80",0.033890956093209,0.0042721080941307,124.558539084352,7.93307550896723,2.21090923346878e-11,0.0210870269942399,0.046694885192178
"Attn_AbsPE_H80 - Attn_RoPE_H80",-0.00197640524464232,0.0042721080941307,124.558539064809,-0.462629971221383,0.999239566844219,-0.0147803343436454,0.0108275238543608
