"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","noent",0.0135795520927937,0.0103677917620308,119.68826553066,1.30978248835254,0.846167346673647,-0.0175145112129735,0.0446736153985608
"SRN - LSTM","noent",0.00824933022339325,0.0103677917620308,119.688264594563,0.795668972982669,0.98499862936993,-0.022844733086531,0.0393433935333175
"SRN - Attn_AbsPE","noent",0.0462807142403003,0.0106728471459112,134.109735137533,4.33630441882892,0.000552497411695052,0.0143305227352849,0.0782309057453157
"SRN - Attn_RoPE","noent",0.0431768972841557,0.0106728471459111,134.109735454533,4.04549008281239,0.00166621375532039,0.0112267057802931,0.0751270887880184
"SRN - Attn_AbsPE_H80","noent",0.0671856125430764,0.0106728471459112,134.109735050211,6.29500372530073,8.48102752470936e-08,0.0352354210377452,0.0991358040484075
"SRN - Attn_RoPE_H80","noent",0.0755019676318747,0.0106728471459118,134.109736346668,7.07421052692537,1.57902724229331e-09,0.0435517761312496,0.1074521591325
"GRU - LSTM","noent",-0.00533022186940041,0.0103677917620308,119.688265408365,-0.514113515369869,0.998612368311169,-0.0364242851757094,0.0257638414369085
"GRU - Attn_AbsPE","noent",0.0327011621475066,0.0106728471459112,134.109736734335,3.06395863263482,0.0411566925505762,0.000750970648294581,0.0646513536467187
"GRU - Attn_RoPE","noent",0.0295973451913621,0.0106728471459111,134.109737146768,2.77314429661828,0.0888581417593611,-0.0023528463063553,0.0615475366890794
"GRU - Attn_AbsPE_H80","noent",0.0536060604502827,0.0106728471459113,134.109736708669,5.02265793910662,3.24531151604246e-05,0.0216558689509754,0.08555625194959
"GRU - Attn_RoPE_H80","noent",0.061922415539081,0.0106728471459119,134.109737924367,5.80186474073133,9.3262414080364e-07,0.0299722240441928,0.0938726070339693
"LSTM - Attn_AbsPE","noent",0.0380313840169071,0.0106728471459112,134.109735222077,3.56337755961182,0.00896831113285501,0.00608119251219984,0.0699815755216143
"LSTM - Attn_RoPE","noent",0.0349275670607625,0.0106728471459111,134.109735524569,3.27256322359529,0.0224296316367121,0.00297737555715776,0.0668777585643672
"LSTM - Attn_AbsPE_H80","noent",0.0589362823196831,0.0106728471459112,134.109735294592,5.52207686608363,3.45890962871742e-06,0.0269860908152388,0.0908864738241274
"LSTM - Attn_RoPE_H80","noent",0.0672526374084814,0.0106728471459118,134.109736504865,6.30128366770832,8.22051613447172e-08,0.0353024459084375,0.0992028289085254
"Attn_AbsPE - Attn_RoPE","noent",-0.00310381695614457,0.010367791762029,119.688262988357,-0.299371074129015,0.999939235043135,-0.0341978802731907,0.0279902463609015
"Attn_AbsPE - Attn_AbsPE_H80","noent",0.0209048983027761,0.0103677917620291,119.688262850614,2.0163308429224,0.409963361435003,-0.0101891650148829,0.0519989616204351
"Attn_AbsPE - Attn_RoPE_H80","noent",0.0292212533915744,0.010367791762029,119.688264209846,2.81846453538874,0.0801929049844233,-0.00187280992005209,0.0603153167032009
"Attn_RoPE - Attn_AbsPE_H80","noent",0.0240087152589206,0.010367791762029,119.688263086499,2.31570191705144,0.245236244879041,-0.00708534805769255,0.0551027785755338
"Attn_RoPE - Attn_RoPE_H80","noent",0.032325070347719,0.010367791762029,119.688264459046,3.11783560951778,0.0359747916297362,0.00123100703719946,0.0634191336582385
"Attn_AbsPE_H80 - Attn_RoPE_H80","noent",0.00831635508879833,0.0103677917620291,119.688264170377,0.802133692466325,0.984356118573953,-0.0227777082230038,0.0394104184006004
"SRN - GRU","ent",0.0109705253379709,0.0103677917620302,119.688268843423,1.05813519308404,0.938858904985512,-0.020123537953087,0.0420645886290289
"SRN - LSTM","ent",0.00768462949884138,0.0103677917620302,119.688269019037,0.741202145570154,0.989655110888431,-0.0234094337914352,0.038778692789118
"SRN - Attn_AbsPE","ent",0.0393597045048959,0.0106728471459108,134.109741323767,3.68783549195459,0.00591737806683079,0.00740951302236222,0.0713098959874296
"SRN - Attn_RoPE","ent",0.0363415169469684,0.0106728471459106,134.109742039221,3.40504426327261,0.0149185030307791,0.00439132546703291,0.0682917084269039
"SRN - Attn_AbsPE_H80","ent",0.0375425610633072,0.0106728471459108,134.109741165124,3.51757694550056,0.0104151153844385,0.00559236958019342,0.069492752546421
"SRN - Attn_RoPE_H80","ent",0.0302818101407438,0.0106728471459111,134.109742375542,2.83727572659421,0.0755907378145557,-0.00166838133797939,0.0622320016194671
"GRU - LSTM","ent",-0.00328589583912956,0.0103677917620302,119.688268882966,-0.316933047513883,0.999915072014359,-0.0343799591300111,0.0278081674517519
"GRU - Attn_AbsPE","ent",0.028389179166925,0.0106728471459108,134.109742746961,2.65994432214857,0.116854325957352,-0.00356101231044387,0.0603393706442938
"GRU - Attn_RoPE","ent",0.0253709916089975,0.0106728471459107,134.109743490801,2.37715309346657,0.216515621469765,-0.00657919986566912,0.057321183083664
"GRU - Attn_AbsPE_H80","ent",0.0265720357253363,0.0106728471459108,134.109742697746,2.48968577569454,0.171418801261626,-0.00537815575220887,0.0585222272028814
"GRU - Attn_RoPE_H80","ent",0.0193112848027729,0.0106728471459112,134.109743869121,1.80938455678822,0.544141403563783,-0.0126389066705151,0.0512614762760609
