"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","noent",0.00347168562499513,0.0105286392701634,116.353659051409,0.329737351229552,0.999892746384295,-0.0281202448141982,0.0350636160641885
"SRN - LSTM","noent",0.00582785374994698,0.0105286392701635,116.353659017877,0.553523926540271,0.997895344188704,-0.0257640766894023,0.0374197841892963
"SRN - Attn_AbsPE","noent",0.0625941918726268,0.0108960055864366,133.129627741769,5.74469160978996,1.23723405742737e-06,0.0299722920455131,0.0952160916997404
"SRN - Attn_RoPE","noent",0.0581905787475083,0.0108960055864367,133.129627637859,5.34054230111112,8.00014337487553e-06,0.02556867892,0.0908124785750165
"SRN - Attn_AbsPE_H80","noent",0.109365158122546,0.0108960055864366,133.129627729975,10.0371789693907,0,0.0767432582953921,0.141987057949699
"SRN - Attn_RoPE_H80","noent",0.0924390637476056,0.010896005586437,133.129626125966,8.48375700749186,7.6438855245442e-13,0.0598171639144032,0.125060963580808
"GRU - LSTM","noent",0.00235616812495185,0.0105286392701634,116.353659066564,0.223786575310721,0.99998909785304,-0.0292357623141689,0.0339480985640726
"GRU - Attn_AbsPE","noent",0.0591225062476316,0.0108960055864366,133.129627514965,5.42607157995839,5.42678766413118e-06,0.0265006064196606,0.0917444060756026
"GRU - Attn_RoPE","noent",0.0547188931225131,0.0108960055864367,133.129627365833,5.02192227127956,3.27965140551889e-05,0.0220969932939802,0.087340792951046
"GRU - Attn_AbsPE_H80","noent",0.10589347249755,0.0108960055864367,133.129627484451,9.71855893955915,0,0.073271572669466,0.138515372325635
"GRU - Attn_RoPE_H80","noent",0.0889673781226105,0.0108960055864371,133.129625882324,8.16513697766031,4.52471393685983e-12,0.0563454782884914,0.12158927795673
"LSTM - Attn_AbsPE","noent",0.0567663381226798,0.0108960055864366,133.129627776514,5.20983012282435,1.43688664042685e-05,0.024144438295694,0.0893882379496655
"LSTM - Attn_RoPE","noent",0.0523627249975613,0.0108960055864367,133.129627641675,4.80568081414552,8.264427657656e-05,0.0197408251700685,0.0849846248250541
"LSTM - Attn_AbsPE_H80","noent",0.103537304372599,0.0108960055864366,133.12962774035,9.50231748242512,0,0.070915404545477,0.13615920419972
"LSTM - Attn_RoPE_H80","noent",0.0866112099976586,0.010896005586437,133.129626137177,7.94889552052629,1.48620005191447e-11,0.0539893101645043,0.119233109830813
"Attn_AbsPE - Attn_RoPE","noent",-0.00440361312511848,0.0105286392701623,116.353655710212,-0.41825092608103,0.999572619843492,-0.0359955435802502,0.0271883173300133
"Attn_AbsPE - Attn_AbsPE_H80","noent",0.0467709662499188,0.0105286392701622,116.353655680943,4.44226125046054,0.000400569671002993,0.0151790357946452,0.0783628967051924
"Attn_AbsPE - Attn_RoPE_H80","noent",0.0298448718749789,0.0105286392701622,116.353655695232,2.83463713678159,0.0772173608544718,-0.0017470585802287,0.0614368023301864
"Attn_RoPE - Attn_AbsPE_H80","noent",0.0511745793750373,0.0105286392701623,116.353655689695,4.86051217654154,7.43976870606344e-05,0.0195826489198044,0.0827665098302701
"Attn_RoPE - Attn_RoPE_H80","noent",0.0342484850000974,0.0105286392701623,116.353655714608,3.2528880628626,0.0244571956581083,0.00265655454498302,0.0658404154552117
"Attn_AbsPE_H80 - Attn_RoPE_H80","noent",-0.0169260943749399,0.0105286392701622,116.353655695711,-1.60762411367894,0.677715175826857,-0.0485180248301433,0.0146658360802635
"SRN - GRU","ent",0.0243592537500095,0.0105286392701627,116.353659733814,2.3136184197175,0.246466084814948,-0.00723267668592052,0.0559511841859395
"SRN - LSTM","ent",0.014381036249926,0.0105286392701628,116.353659726634,1.36589694840059,0.818632336956123,-0.017210894186046,0.0459729666858979
"SRN - Attn_AbsPE","ent",0.0596286868726719,0.0108960055864355,133.129627660379,5.4725271935345,4.38832576254988e-06,0.0270067870452554,0.0922505867000884
"SRN - Attn_RoPE","ent",0.0577115531226184,0.0108960055864355,133.129627699657,5.29657888524431,9.75177849449338e-06,0.0250896532953495,0.0903334529498873
"SRN - Attn_AbsPE_H80","ent",0.084163491872685,0.0108960055864355,133.129627662145,7.72425190176671,5.0527471096018e-11,0.051541592045276,0.116785391700094
"SRN - Attn_RoPE_H80","ent",0.0554597868726506,0.010896005586436,133.129629284208,5.08991909307483,2.43858986886947e-05,0.0228378870513468,0.0880816866939544
"GRU - LSTM","ent",-0.00997821750008352,0.0105286392701627,116.353659751066,-0.947721471316902,0.963760042737496,-0.0415701479359333,0.0216137129357663
"GRU - Attn_AbsPE","ent",0.0352694331226624,0.0108960055864355,133.129627480452,3.23691400879691,0.0249910179624779,0.00264753329456898,0.0678913329507558
"GRU - Attn_RoPE","ent",0.0333522993726089,0.0108960055864355,133.129627492789,3.06096570050673,0.0415454417017987,0.000730399544561132,0.0659741992006567
"GRU - Attn_AbsPE_H80","ent",0.0598042381226755,0.0108960055864355,133.129627459534,5.48863871702912,4.07563189908089e-06,0.0271823382945005,0.0924261379508505
