"contrast","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU",0.0139154696875023,0.0075151917614602,120.760441366285,1.85164532445657,0.51626600570968,-0.00861993621915275,0.0364508755941574
"SRN - LSTM",0.0101044449999365,0.00751519176146025,120.760441422713,1.34453588420119,0.829424173464423,-0.0124309609065398,0.0326398509064127
"SRN - Attn_AbsPE",0.0611114393726493,0.00802177038252448,155.210437444468,7.61819853455059,4.97594188075823e-11,0.0371472283538727,0.0850756503914259
"SRN - Attn_RoPE",0.0579510659350633,0.00802177038252457,155.210437386331,7.22422397695523,4.46245151941582e-10,0.0339868549161692,0.0819152769539575
"SRN - Attn_AbsPE_H80",0.0967643249976153,0.0080217703825245,155.210437521058,12.0627143863925,0,0.0728001139789922,0.120728536016238
"SRN - Attn_RoPE_H80",0.0739494253101281,0.00802177038252513,155.210436727278,9.21859163049865,5.97299987248334e-14,0.049985214289895,0.0979136363303612
"GRU - LSTM",-0.00381102468756583,0.0075151917614602,120.76044140775,-0.507109440255368,0.998716414198875,-0.0263464305940902,0.0187243812189586
"GRU - Attn_AbsPE",0.047195969685147,0.0080217703825245,155.210436343323,5.88348549441952,4.97215339678725e-07,0.0232317586641316,0.0711601807061624
"GRU - Attn_RoPE",0.044035596247561,0.00802177038252459,155.210436343373,5.48951093682418,3.32823998250298e-06,0.0200713852265469,0.0679998072685752
"GRU - Attn_AbsPE_H80",0.082848855310113,0.00802177038252452,155.210436474693,10.3280013462614,4.67403893367191e-14,0.058884644289365,0.106813066330861
"GRU - Attn_RoPE_H80",0.0600339556226258,0.00802177038252515,155.210435659911,7.48387859036772,1.05705666442191e-10,0.0360697446002174,0.0839981666450342
"LSTM - Attn_AbsPE",0.0510069943727128,0.00802177038252447,155.210437570997,6.35857073194618,4.52584546506429e-08,0.0270427833541956,0.0749712053912301
"LSTM - Attn_RoPE",0.0478466209351269,0.00802177038252457,155.210437571086,5.96459617435084,3.32813850034697e-07,0.0238824099166089,0.0718108319536448
"LSTM - Attn_AbsPE_H80",0.0866598799976788,0.0080217703825245,155.210437729308,10.8030865837881,3.84137166520304e-14,0.0626956689794846,0.110624091015873
"LSTM - Attn_RoPE_H80",0.0638449803101916,0.00802177038252512,155.210436896576,7.95896382789435,7.21189774566255e-12,0.039880769290298,0.0878091913300853
"Attn_AbsPE - Attn_RoPE",-0.00316037343758597,0.00751519176145873,120.760439611254,-0.420531310164803,0.999559724809383,-0.0256957793497842,0.0193750324746123
"Attn_AbsPE - Attn_AbsPE_H80",0.0356528856249659,0.00751519176145867,120.760439591901,4.74410856790244,0.000116191345451822,0.0131174797127092,0.0581882915372227
"Attn_AbsPE - Attn_RoPE_H80",0.0128379859374788,0.00751519176145867,120.760439639286,1.70827123844236,0.611905209213873,-0.00969741997462795,0.0353733918495856
"Attn_RoPE - Attn_AbsPE_H80",0.0388132590625519,0.00751519176145874,120.7604395775,5.1646398780672,1.96367926833529e-05,0.0162778531502483,0.0613486649748555
"Attn_RoPE - Attn_RoPE_H80",0.0159983593750648,0.00751519176145874,120.760439632656,2.12880254860714,0.342720735117514,-0.0065370465370676,0.0385337652871972
"Attn_AbsPE_H80 - Attn_RoPE_H80",-0.0228148996874871,0.00751519176145868,120.760439622083,-3.03583732946008,0.0451689116778146,-0.0453503055996494,-0.000279493775324925
