"contrast","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"SRN - GRU","noent",-0.028357095833337,0.0157466322829921,152.115550430449,-1.80083558971308,0.549581376793651,-0.0754111448220562,0.0186969531553822
"SRN - LSTM","noent",-0.00209167500000689,0.0157466322829921,152.115550436372,-0.132833164731109,0.999999518310703,-0.0491457239887081,0.0449623739886943
"SRN - Attn_AbsPE","noent",-0.0243958083333369,0.0157466322829921,152.115550435442,-1.54927148198455,0.714505177982395,-0.0714498573220386,0.0226582406553648
"SRN - Attn_RoPE","noent",0.00628336666665314,0.0157466322829921,152.115550430775,0.399029237092162,0.999677777114889,-0.040770682322065,0.0533374156553713
"SRN - Attn_AbsPE_H80","noent",0.0129534124999939,0.0157466322829921,152.115550436974,0.822614783097772,0.982297215264437,-0.0341006364887022,0.06000746148869
"SRN - Attn_RoPE_H80","noent",0.0195293958333311,0.0157466322829921,152.115550393838,1.24022682960755,0.87722792552944,-0.0275246531555385,0.0665834448222008
"GRU - LSTM","noent",0.0262654208333301,0.0157466322829921,152.115550431771,1.66800242498197,0.638314695564313,-0.0207886281553866,0.0733194698220468
"GRU - Attn_AbsPE","noent",0.00396128750000006,0.0157466322829921,152.115550430513,0.251564107728523,0.999978441548133,-0.0430927614887182,0.0510153364887183
"GRU - Attn_RoPE","noent",0.0346404624999901,0.0157466322829921,152.11555042481,2.19986482680524,0.301768424618736,-0.0124135864887503,0.0816945114887306
"GRU - Attn_AbsPE_H80","noent",0.0413105083333309,0.0157466322829921,152.115550433054,2.62345037281085,0.126252530729478,-0.00574354065537734,0.0883645573220391
"GRU - Attn_RoPE_H80","noent",0.0478864916666681,0.0157466322829921,152.115550383389,3.04106241932062,0.0431779458503,0.000832442677753883,0.0949405406555824
"LSTM - Attn_AbsPE","noent",-0.02230413333333,0.0157466322829921,152.115550437702,-1.41643831725344,0.792233330891226,-0.0693581823220174,0.0247499156553574
"LSTM - Attn_RoPE","noent",0.00837504166666003,0.0157466322829921,152.115550431122,0.531862401823271,0.998334043814798,-0.0386790073220592,0.0554290906553793
"LSTM - Attn_AbsPE_H80","noent",0.0150450875000008,0.0157466322829921,152.115550439417,0.955447947828881,0.962521499892074,-0.0320089614886812,0.0620991364886828
"LSTM - Attn_RoPE_H80","noent",0.021621070833338,0.0157466322829921,152.115550389862,1.37305999433866,0.815279698067269,-0.0254329781555532,0.0686751198222292
"Attn_AbsPE - Attn_RoPE","noent",0.0306791749999901,0.0157466322829921,152.115550431285,1.94830071907671,0.451984585727786,-0.0163748739887274,0.0777332239887076
"Attn_AbsPE - Attn_AbsPE_H80","noent",0.0373492208333308,0.0157466322829921,152.115550438587,2.37188626508232,0.217844894208968,-0.00970482815535179,0.0844032698220134
"Attn_AbsPE - Attn_RoPE_H80","noent",0.0439252041666681,0.0157466322829921,152.115550389307,2.7894983115921,0.0844094916861257,-0.00312884482222018,0.0909792531555563
"Attn_RoPE - Attn_AbsPE_H80","noent",0.00667004583334076,0.0157466322829921,152.115550435257,0.42358554600561,0.999545021461241,-0.0403840031553604,0.0537240948220419
"Attn_RoPE - Attn_RoPE_H80","noent",0.013246029166678,0.0157466322829921,152.115550385478,0.841197592515386,0.980149999694439,-0.033808019822232,0.060300078155588
"Attn_AbsPE_H80 - Attn_RoPE_H80","noent",0.00657598333333723,0.0157466322829921,152.115550390015,0.417612046509776,0.999580801103598,-0.0404780656555524,0.0536300323222269
"SRN - GRU","ent",-0.028357095833337,0.0157466322829921,152.115550430449,-1.80083558971308,0.549581376793651,-0.0754111448220562,0.0186969531553822
"SRN - LSTM","ent",-0.00209167500000689,0.0157466322829921,152.115550436372,-0.132833164731109,0.999999518310703,-0.0491457239887081,0.0449623739886943
"SRN - Attn_AbsPE","ent",-0.0243958083333369,0.0157466322829921,152.115550435442,-1.54927148198455,0.714505177982395,-0.0714498573220386,0.0226582406553648
"SRN - Attn_RoPE","ent",0.00628336666665314,0.0157466322829921,152.115550430775,0.399029237092162,0.999677777114889,-0.040770682322065,0.0533374156553713
"SRN - Attn_AbsPE_H80","ent",0.0129534124999939,0.0157466322829921,152.115550436974,0.822614783097772,0.982297215264437,-0.0341006364887022,0.06000746148869
"SRN - Attn_RoPE_H80","ent",0.0195293958333311,0.0157466322829921,152.115550393838,1.24022682960755,0.87722792552944,-0.0275246531555385,0.0665834448222008
"GRU - LSTM","ent",0.0262654208333301,0.0157466322829921,152.115550431771,1.66800242498197,0.638314695564313,-0.0207886281553866,0.0733194698220468
"GRU - Attn_AbsPE","ent",0.00396128750000006,0.0157466322829921,152.115550430513,0.251564107728523,0.999978441548133,-0.0430927614887182,0.0510153364887183
"GRU - Attn_RoPE","ent",0.0346404624999901,0.0157466322829921,152.11555042481,2.19986482680524,0.301768424618736,-0.0124135864887503,0.0816945114887306
"GRU - Attn_AbsPE_H80","ent",0.0413105083333309,0.0157466322829921,152.115550433054,2.62345037281085,0.126252530729478,-0.00574354065537734,0.0883645573220391
"GRU - Attn_RoPE_H80","ent",0.0478864916666681,0.0157466322829921,152.115550383389,3.04106241932062,0.0431779458503,0.000832442677753883,0.0949405406555824
"LSTM - Attn_AbsPE","ent",-0.02230413333333,0.0157466322829921,152.115550437702,-1.41643831725344,0.792233330891226,-0.0693581823220174,0.0247499156553574
"LSTM - Attn_RoPE","ent",0.00837504166666003,0.0157466322829921,152.115550431122,0.531862401823271,0.998334043814798,-0.0386790073220592,0.0554290906553793
"LSTM - Attn_AbsPE_H80","ent",0.0150450875000008,0.0157466322829921,152.115550439417,0.955447947828881,0.962521499892074,-0.0320089614886812,0.0620991364886828
"LSTM - Attn_RoPE_H80","ent",0.021621070833338,0.0157466322829921,152.115550389862,1.37305999433866,0.815279698067269,-0.0254329781555532,0.0686751198222292
"Attn_AbsPE - Attn_RoPE","ent",0.0306791749999901,0.0157466322829921,152.115550431285,1.94830071907671,0.451984585727786,-0.0163748739887274,0.0777332239887076
"Attn_AbsPE - Attn_AbsPE_H80","ent",0.0373492208333308,0.0157466322829921,152.115550438587,2.37188626508232,0.217844894208968,-0.00970482815535179,0.0844032698220134
"Attn_AbsPE - Attn_RoPE_H80","ent",0.0439252041666681,0.0157466322829921,152.115550389307,2.7894983115921,0.0844094916861257,-0.00312884482222018,0.0909792531555563
"Attn_RoPE - Attn_AbsPE_H80","ent",0.00667004583334076,0.0157466322829921,152.115550435257,0.42358554600561,0.999545021461241,-0.0403840031553604,0.0537240948220419
"Attn_RoPE - Attn_RoPE_H80","ent",0.013246029166678,0.0157466322829921,152.115550385478,0.841197592515386,0.980149999694439,-0.033808019822232,0.060300078155588
